;config_289_avg
Standard_Acc;78,1100
RMSCE;0,0209
gaussian_noise;55,9660
shot_noise;60,0700
impulse_noise;56,0920
defocus_blur;74,3000
glass_blur;62,9020
motion_blur;71,8520
zoom_blur;72,8340
snow;69,8880
frost;71,1260
fog;72,1220
brightness;76,3540
contrast;73,3100
elastic_transform;70,3460
pixelate;72,0620
jpeg_compression;63,1720
speckle_noise;59,8900
gaussian_blur;72,5400
spatter;70,3520
saturate;72,5220
blue_noise;56,3540
brownish_noise;41,1720
checkerboard_cutout;60,2900
circular_motion_blur;70,8720
inverse_sparkles;47,5680
lines;55,0040
pinch_and_twirl;72,4020
ripple;66,1820
sparkles;61,7760
transverse_chromatic_abberation;58,4600
Acc_C-all-19;68,3000
Acc_C-original-15;68,1597
Acc_C-bar-10;59,0080
Acc_all-ex-pixelwise-noise-24;66,6420
RMSCE_C;0,0407
Combined_Noise;63,4300
