;config_284_avg;config_284_std;config_284_run_0;config_284_run_1;config_284_run_2;config_284_run_3;config_284_run_4
Standard_Acc;81,6620;0,2131;81,5500;82,0600;81,5600;81,4500;81,6900
RMSCE;0,0237;0,0018;0,0249;0,0263;0,0229;0,0210;0,0234
gaussian_noise;57,6972;1,1506;59,1920;58,2420;58,1180;57,1320;55,8020
shot_noise;62,3792;0,8823;63,6380;62,8880;62,2920;62,1000;60,9780
impulse_noise;64,7924;1,1483;65,9200;63,0380;65,7860;65,3800;63,8380
defocus_blur;76,7152;0,3300;76,3200;77,2720;76,5260;76,5840;76,8740
glass_blur;64,5452;0,5244;64,8160;65,0540;64,8660;64,4040;63,5860
motion_blur;72,5244;0,4293;72,5200;73,2660;71,9360;72,5340;72,3660
zoom_blur;74,3800;0,3662;74,2120;74,7700;74,5440;73,7460;74,6280
snow;72,1224;0,4572;72,0220;72,4640;72,5220;72,3280;71,2760
frost;72,5560;0,5640;72,6800;73,0000;72,0460;73,2740;71,7800
fog;75,4812;0,2932;75,1420;76,0020;75,3420;75,3520;75,5680
brightness;80,2024;0,1794;80,0960;80,5540;80,0580;80,1560;80,1480
contrast;76,9112;0,3253;76,6320;77,3640;76,4760;76,9360;77,1480
elastic_transform;72,1004;0,3200;72,1360;72,5980;71,9860;71,6060;72,1760
pixelate;70,3296;0,9867;68,7200;71,0080;71,6340;70,2940;69,9920
jpeg_compression;61,4468;0,9684;60,7740;61,8460;62,4220;62,2960;59,8960
speckle_noise;62,9568;0,8466;64,1900;63,5600;62,5000;62,7860;61,7480
gaussian_blur;74,6968;0,4415;74,2440;75,4840;74,3400;74,6020;74,8140
spatter;74,0368;0,2427;73,8800;74,5020;74,0060;73,9820;73,8140
saturate;75,6636;0,2714;75,4500;76,1600;75,3880;75,6700;75,6500
blue_noise;61,1044;1,4186;61,3880;61,0860;62,8400;61,6800;58,5280
brownish_noise;43,9468;0,7530;43,9820;44,9120;42,6480;44,3880;43,8040
checkerboard_cutout;66,4400;0,5913;66,7580;67,4120;65,7580;65,9740;66,2980
circular_motion_blur;75,4432;0,3748;75,1520;76,1660;75,3140;75,1640;75,4200
inverse_sparkles;46,5192;0,9093;46,6860;46,2620;48,1440;46,0860;45,4180
lines;55,1412;0,5899;55,7440;55,3940;55,6960;54,5080;54,3640
pinch_and_twirl;75,4432;0,3527;75,8080;75,9220;75,1240;75,0800;75,2820
ripple;63,9600;1,0963;62,0540;65,0240;63,9800;65,0440;63,6980
sparkles;67,1064;0,5334;67,3220;68,0320;66,7860;66,8960;66,4960
transverse_chromatic_abberation;54,1640;1,0888;52,8760;55,7000;52,9800;54,4460;54,8180
Acc_C-all-19;70,6072;0,2873;70,6623;71,0038;70,6731;70,5875;70,1096
Acc_C-original-15;70,2789;0,2966;70,3213;70,6244;70,4369;70,2748;69,7371
Acc_C-bar-10;60,9268;0,3816;60,7770;61,5910;60,9270;60,9266;60,4126
Acc_all-ex-pixelwise-noise-24;68,4115;0,3138;68,1677;69,0070;68,3551;68,3896;68,1381
RMSCE_C;0,0493;0,0031;0,0497;0,0482;0,0440;0,0514;0,0530
Combined_Noise;68,8380;0,2992;69,2300;68,6700;69,1700;68,5800;68,5400
