;config_286_avg
Standard_Acc;80,9400
RMSCE;0,0218
gaussian_noise;59,4300
shot_noise;62,9560
impulse_noise;62,3860
defocus_blur;76,3420
glass_blur;64,7280
motion_blur;73,5780
zoom_blur;74,4260
snow;71,6300
frost;71,9580
fog;74,9280
brightness;79,4100
contrast;75,5780
elastic_transform;72,3360
pixelate;71,5680
jpeg_compression;62,3300
speckle_noise;62,9660
gaussian_blur;74,0780
spatter;73,1680
saturate;74,9960
blue_noise;59,2320
brownish_noise;43,3920
checkerboard_cutout;65,0420
circular_motion_blur;74,4880
inverse_sparkles;46,0500
lines;54,7700
pinch_and_twirl;75,1540
ripple;64,9320
sparkles;65,3840
transverse_chromatic_abberation;54,9040
Acc_C-all-19;70,4627
Acc_C-original-15;70,2389
Acc_C-bar-10;60,3348
Acc_all-ex-pixelwise-noise-24;68,1321
RMSCE_C;0,0456
Combined_Noise;67,7300
