;config_285_avg;config_285_std;config_285_run_0;config_285_run_1;config_285_run_2;config_285_run_3;config_285_run_4
Standard_Acc;81,0900;0,1265;80,8600;81,0800;81,1200;81,2400;81,1500
RMSCE;0,0251;0,0040;0,0204;0,0209;0,0269;0,0262;0,0312
gaussian_noise;58,8116;1,0330;58,0180;60,2420;57,5580;59,7900;58,4500
shot_noise;63,1656;0,9243;62,8020;64,4120;62,0640;64,0960;62,4540
impulse_noise;64,3236;0,4878;64,4560;64,3080;64,5560;64,8760;63,4220
defocus_blur;76,4928;0,2042;76,1580;76,3920;76,7440;76,6400;76,5300
glass_blur;64,6584;0,3112;64,7100;65,0420;64,2240;64,9280;64,3880
motion_blur;72,8764;0,1244;72,8700;72,6660;73,0140;72,9900;72,8420
zoom_blur;74,3892;0,2644;73,9240;74,3340;74,7020;74,4200;74,5660
snow;72,4200;0,4105;72,5020;72,6160;71,7000;72,9420;72,3400
frost;72,8068;0,3793;73,0280;73,0800;72,3120;73,2260;72,3880
fog;75,3304;0,2214;75,0680;75,1780;75,3780;75,7180;75,3100
brightness;79,6548;0,2806;79,4940;79,5780;79,7180;80,1560;79,3280
contrast;76,6456;0,2755;76,3400;76,9680;76,7020;76,9060;76,3120
elastic_transform;72,2340;0,1033;72,1280;72,2040;72,1320;72,3180;72,3880
pixelate;71,9036;0,5304;72,9000;71,7380;71,7420;71,8300;71,3080
jpeg_compression;62,7060;0,3576;63,2300;62,3860;62,5040;63,0380;62,3720
speckle_noise;63,6736;1,0343;63,6220;65,1480;62,4100;64,4780;62,7100
gaussian_blur;74,4332;0,2030;74,1480;74,3940;74,7240;74,5880;74,3120
spatter;73,9332;0,3641;73,8780;74,1060;73,6480;74,5340;73,5000
saturate;75,5040;0,1091;75,5280;75,6140;75,4320;75,6140;75,3320
blue_noise;60,6020;1,0182;61,0220;61,5280;59,4300;61,6900;59,3400
brownish_noise;44,3776;0,9567;45,0720;42,9120;44,1060;44,0840;45,7140
checkerboard_cutout;66,0780;0,4125;66,4160;66,4240;65,8620;66,3240;65,3640
circular_motion_blur;74,8504;0,4237;74,4620;75,2060;75,2400;74,2220;75,1220
inverse_sparkles;47,4404;0,6666;48,1000;47,5040;46,9140;48,2040;46,4800
lines;55,3260;0,4087;55,2480;55,0920;54,9400;56,1120;55,2380
pinch_and_twirl;75,2136;0,1358;75,2480;75,4520;75,1060;75,1980;75,0640
ripple;66,0620;0,4999;66,3460;66,6100;65,9640;66,2380;65,1520
sparkles;66,8696;0,4266;67,0120;67,4800;66,2080;67,0180;66,6300
transverse_chromatic_abberation;56,0988;1,2872;56,0820;54,3260;57,2400;57,7700;55,0760
Acc_C-all-19;70,8401;0,2648;70,7792;71,0740;70,5928;71,2152;70,5396
Acc_C-original-15;70,5613;0,2410;70,5085;70,7429;70,3367;70,9249;70,2932
Acc_C-bar-10;61,2918;0,2745;61,5008;61,2534;61,1010;61,6860;60,9180
Acc_all-ex-pixelwise-noise-24;68,6794;0,1670;68,7455;68,6376;68,5940;68,9591;68,4607
RMSCE_C;0,0422;0,0005;0,0420;0,0422;0,0430;0,0416;0,0420
Combined_Noise;68,6620;0,6378;68,3800;68,6200;67,6900;69,6000;69,0200
