;config_344_avg;config_344_std;config_344_run_0;config_344_run_1;config_344_run_2
Standard_Acc;82,2833;0,0544;82,2500;82,2400;82,3600
RMSCE;0,0215;0,0026;0,0219;0,0182;0,0245
gaussian_noise;55,0213;0,8712;55,9840;53,8740;55,2060
shot_noise;60,5393;0,5828;61,2720;59,8460;60,5000
impulse_noise;65,6793;0,9209;66,4940;64,3920;66,1520
defocus_blur;77,0693;0,3078;76,6380;77,2340;77,3360
glass_blur;60,3967;0,3650;60,8740;59,9880;60,3280
motion_blur;70,9267;0,6315;70,3820;70,5860;71,8120
zoom_blur;74,3067;0,1790;74,1440;74,2200;74,5560
snow;70,5067;0,1786;70,2780;70,5280;70,7140
frost;69,1640;0,4857;69,2180;68,5440;69,7300
fog;75,0100;0,1702;74,7760;75,1760;75,0780
brightness;80,9067;0,1714;80,6740;80,9640;81,0820
contrast;76,7887;0,1657;76,7240;76,6260;77,0160
elastic_transform;71,2940;0,1519;71,2900;71,1100;71,4820
pixelate;62,8053;0,6044;62,1320;63,5980;62,6860
jpeg_compression;58,2653;0,6108;58,0620;57,6400;59,0940
speckle_noise;61,5467;0,4597;62,1900;61,3060;61,1440
gaussian_blur;74,8860;0,3877;74,3400;75,1160;75,2020
spatter;74,9913;0,1608;75,0140;74,7840;75,1760
saturate;76,2227;0,1156;76,0600;76,3180;76,2900
blue_noise;65,7533;0,8459;64,6360;66,6820;65,9420
brownish_noise;42,9173;0,5771;43,5780;42,1720;43,0020
checkerboard_cutout;68,4713;0,4365;68,2140;68,1140;69,0860
circular_motion_blur;76,0240;0,5901;75,5200;75,7000;76,8520
inverse_sparkles;43,7487;0,3483;43,8280;44,1300;43,2880
lines;55,0360;0,1133;54,9160;55,1880;55,0040
pinch_and_twirl;75,0593;0,0924;75,1760;74,9500;75,0520
ripple;63,9173;0,6890;62,9540;64,2720;64,5260
sparkles;67,5680;0,2837;67,3140;67,4260;67,9640
transverse_chromatic_abberation;50,2847;0,9162;49,8340;51,5620;49,4580
Acc_C-all-19;69,2804;0,1878;69,2919;69,0447;69,5044
Acc_C-original-15;68,5787;0,2302;68,5961;68,2884;68,8515
Acc_C-bar-10;60,8780;0,1987;60,5970;61,0196;61,0174
Acc_all-ex-pixelwise-noise-24;67,3569;0,1690;67,1642;67,3311;67,5756
RMSCE_C;0,0748;0,0065;0,0767;0,0660;0,0817
Combined_Noise;68,1000;0,1728;68,3400;68,0200;67,9400
