;config_308_avg
Standard_Acc;74,7700
RMSCE;0,0433
gaussian_noise;52,6160
shot_noise;57,6400
impulse_noise;48,0780
defocus_blur;69,2800
glass_blur;60,5760
motion_blur;67,2320
zoom_blur;67,4180
snow;66,5900
frost;67,0480
fog;69,7860
brightness;72,5420
contrast;68,6700
elastic_transform;66,2000
pixelate;66,9920
jpeg_compression;58,5700
speckle_noise;58,3680
gaussian_blur;66,6380
spatter;67,5980
saturate;68,7600
blue_noise;48,7580
brownish_noise;39,0080
checkerboard_cutout;59,3120
circular_motion_blur;66,3460
inverse_sparkles;45,9580
lines;52,6840
pinch_and_twirl;69,5780
ripple;61,0560
sparkles;61,3800
transverse_chromatic_abberation;50,2760
Acc_C-all-19;64,2422
Acc_C-original-15;63,9492
Acc_C-bar-10;55,4356
Acc_all-ex-pixelwise-noise-24;62,8957
RMSCE_C;0,0972
Combined_Noise;62,6400
