;config_307_avg
Standard_Acc;75,1400
RMSCE;0,0495
gaussian_noise;55,7280
shot_noise;59,7240
impulse_noise;54,3460
defocus_blur;69,4620
glass_blur;60,6740
motion_blur;66,8860
zoom_blur;67,4180
snow;66,7000
frost;66,9960
fog;69,9940
brightness;73,1520
contrast;68,8320
elastic_transform;66,2920
pixelate;67,6220
jpeg_compression;58,5140
speckle_noise;60,5160
gaussian_blur;66,6820
spatter;67,1740
saturate;69,0840
blue_noise;48,3940
brownish_noise;38,6820
checkerboard_cutout;59,8600
circular_motion_blur;67,1940
inverse_sparkles;45,4180
lines;51,7800
pinch_and_twirl;69,3180
ripple;61,7440
sparkles;62,2260
transverse_chromatic_abberation;47,4500
Acc_C-all-19;65,0419
Acc_C-original-15;64,8227
Acc_C-bar-10;55,2066
Acc_all-ex-pixelwise-noise-24;62,8814
RMSCE_C;0,1008
Combined_Noise;63,1300
