;config_320_avg;config_320_std;config_320_run_0;config_320_run_1;config_320_run_2;config_320_run_3;config_320_run_4
Standard_Acc;81,7720;0,2183;81,4600;81,7000;81,7700;82,1400;81,7900
RMSCE;0,0219;0,0033;0,0229;0,0220;0,0251;0,0156;0,0238
gaussian_noise;61,8072;0,7710;62,2560;62,4160;60,9500;62,6140;60,8000
shot_noise;65,4584;0,8295;65,8740;65,9720;64,7080;66,4700;64,2680
impulse_noise;67,4844;0,5469;66,5940;67,8180;67,1780;67,6660;68,1660
defocus_blur;77,1300;0,1561;77,3860;77,0260;77,0000;77,2380;77,0000
glass_blur;64,0700;0,5388;64,6100;64,1020;63,7020;64,6760;63,2600
motion_blur;72,2324;0,5279;72,6640;72,3820;71,6060;72,8840;71,6260
zoom_blur;74,4332;0,3439;74,9240;74,7680;74,2440;74,1060;74,1240
snow;71,8572;0,5689;72,2380;71,3940;71,2800;72,7820;71,5920
frost;71,9496;0,7858;72,5220;71,6940;71,2400;73,1740;71,1180
fog;75,3008;0,3299;75,5660;75,1300;74,9580;75,8100;75,0400
brightness;80,3208;0,1695;80,0160;80,2900;80,3680;80,5200;80,4100
contrast;76,9780;0,1031;76,9660;77,0340;76,8620;77,1440;76,8840
elastic_transform;72,0140;0,2161;72,2080;72,1480;71,7360;72,2120;71,7660
pixelate;69,8208;1,3521;71,2000;68,7260;67,7280;70,6140;70,8360
jpeg_compression;60,9800;0,8518;61,5820;59,9900;60,9100;62,2520;60,1660
speckle_noise;65,8784;0,9466;66,1760;66,5220;65,1440;67,0820;64,4680
gaussian_blur;75,1564;0,1713;75,4540;75,1160;75,0420;74,9560;75,2140
spatter;74,2628;0,3011;73,8840;74,0320;74,2640;74,7560;74,3780
saturate;75,8820;0,2023;75,7040;75,8880;75,6780;76,2440;75,8960
blue_noise;63,1976;0,6930;62,2520;62,7820;64,3300;63,1980;63,4260
brownish_noise;44,2340;0,8581;44,9780;43,5860;42,8660;44,9880;44,7520
checkerboard_cutout;66,6164;0,3457;65,9640;66,6380;66,9780;66,7980;66,7040
circular_motion_blur;75,8488;0,1737;75,7720;75,9360;75,5540;75,9200;76,0620
inverse_sparkles;44,4944;0,4459;45,1660;44,5000;43,8780;44,7480;44,1800
lines;53,9864;0,5446;53,6560;53,7520;53,2780;54,6800;54,5660
pinch_and_twirl;75,2628;0,2841;75,1340;75,2780;74,9860;75,8000;75,1160
ripple;64,7888;0,4330;64,8980;64,0480;65,3920;64,8820;64,7240
sparkles;67,9392;0,3611;68,1440;67,9240;67,7260;68,4820;67,4200
transverse_chromatic_abberation;53,6612;0,6822;54,4520;52,7760;53,1320;53,5020;54,4440
Acc_C-all-19;71,2114;0,3601;71,4644;71,1815;70,7683;71,7474;70,8954
Acc_C-original-15;70,7891;0,3888;71,1071;70,7260;70,2980;71,3441;70,4704
Acc_C-bar-10;61,0030;0,2115;61,0416;60,7220;60,8120;61,2998;61,1394
Acc_all-ex-pixelwise-noise-24;68,3008;0,2889;68,5453;68,0899;67,9337;68,7153;68,2199
RMSCE_C;0,0494;0,0028;0,0450;0,0500;0,0528;0,0477;0,0514
Combined_Noise;70,3240;0,6262;69,7200;70,1100;70,0300;71,5300;70,2300
