;config_290_avg
Standard_Acc;76,7300
RMSCE;0,0253
gaussian_noise;55,3160
shot_noise;59,3180
impulse_noise;52,3980
defocus_blur;72,9860
glass_blur;61,3740
motion_blur;70,8880
zoom_blur;71,5300
snow;68,8540
frost;69,6800
fog;71,0560
brightness;74,7280
contrast;71,7700
elastic_transform;68,9140
pixelate;70,3940
jpeg_compression;62,3800
speckle_noise;59,4460
gaussian_blur;71,3600
spatter;68,5840
saturate;71,1580
blue_noise;54,7220
brownish_noise;42,0200
checkerboard_cutout;58,8340
circular_motion_blur;68,9140
inverse_sparkles;46,4780
lines;52,4380
pinch_and_twirl;71,1280
ripple;64,8860
sparkles;60,0080
transverse_chromatic_abberation;56,3940
Acc_C-all-19;66,9544
Acc_C-original-15;66,7724
Acc_C-bar-10;57,5822
Acc_all-ex-pixelwise-noise-24;65,2815
RMSCE_C;0,0411
Combined_Noise;61,4200
