;config_23_avg;config_23_std;config_23_run_0;config_23_run_1;config_23_run_2
Standard_Acc;80,3067;0,2439;79,9700;80,4100;80,5400
RMSCE;0,1097;0,0021;0,1115;0,1108;0,1068
gaussian_noise;69,3567;0,1164;69,1920;69,4380;69,4400
shot_noise;72,2960;0,0461;72,3480;72,2360;72,3040
impulse_noise;79,4867;0,1529;79,4360;79,3300;79,6940
defocus_blur;74,3460;0,0623;74,4340;74,3060;74,2980
glass_blur;55,6840;0,3101;56,0080;55,2660;55,7780
motion_blur;66,6887;0,0288;66,7100;66,7080;66,6480
zoom_blur;72,1280;0,3162;72,5060;72,1460;71,7320
snow;67,6440;0,1359;67,7140;67,4540;67,7640
frost;61,3353;0,3512;61,8120;60,9760;61,2180
fog;71,0233;0,3830;70,6080;70,9300;71,5320
brightness;78,1827;0,1815;77,9280;78,2820;78,3380
contrast;72,9167;0,1822;72,6980;73,1440;72,9080
elastic_transform;69,1440;0,1797;69,2120;69,3220;68,8980
pixelate;55,5233;1,7949;56,6840;52,9880;56,8980
jpeg_compression;56,0733;0,4109;56,5860;56,0540;55,5800
speckle_noise;73,2147;0,0825;73,2720;73,0980;73,2740
gaussian_blur;71,9993;0,2500;72,3520;71,8440;71,8020
spatter;74,2133;0,1005;74,0920;74,3380;74,2100
saturate;72,4873;0,0467;72,4280;72,4920;72,5420
blue_noise;77,0307;0,5880;77,7600;76,3200;77,0120
brownish_noise;35,3213;0,6886;34,7680;34,9040;36,2920
checkerboard_cutout;69,7507;0,4042;69,2600;70,2500;69,7420
circular_motion_blur;75,8933;0,2775;75,6660;76,2840;75,7300
inverse_sparkles;39,4213;0,5308;39,4320;38,7660;40,0660
lines;54,9733;0,2609;55,0280;55,2620;54,6300
pinch_and_twirl;74,2807;0,0237;74,2520;74,3100;74,2800
ripple;57,0620;0,2241;57,3580;57,0120;56,8160
sparkles;63,9220;0,1544;64,1400;63,8020;63,8240
transverse_chromatic_abberation;36,4427;0,2739;36,1180;36,4220;36,7880
Acc_C-all-19;69,1444;0,1287;69,2642;68,9659;69,2031
Acc_C-original-15;68,1219;0,1549;68,2584;67,9053;68,2020
Acc_C-bar-10;58,4098;0,0787;58,3782;58,3332;58,5180
Acc_all-ex-pixelwise-noise-24;63,6024;0,0945;63,6581;63,4692;63,6798
RMSCE_C;0,0808;0,0024;0,0835;0,0811;0,0776
Combined_Noise;75,4367;0,0573;75,5100;75,3700;75,4300
