;config_9_avg;config_9_std;config_9_run_0;config_9_run_1;config_9_run_2
Standard_Acc;96,6333;0,1396;96,5500;96,8300;96,5200
RMSCE;0,0498;0,0013;0,0517;0,0489;0,0489
gaussian_noise;69,1593;2,8122;71,5120;70,7600;65,2060
shot_noise;77,2493;2,1204;79,0340;78,4440;74,2700
impulse_noise;84,8913;2,0671;86,3380;86,3680;81,9680
defocus_blur;94,1853;0,2434;94,3360;94,3780;93,8420
glass_blur;78,5307;0,8210;77,7600;78,1640;79,6680
motion_blur;90,4493;0,1458;90,4840;90,6080;90,2560
zoom_blur;92,7900;0,1842;92,9340;92,9060;92,5300
snow;90,5527;0,1686;90,3300;90,7380;90,5900
frost;87,7080;0,3384;87,7980;88,0700;87,2560
fog;93,8960;0,1911;94,0600;93,6280;94,0000
brightness;96,0893;0,1164;96,0080;96,2540;96,0060
contrast;94,5053;0,0887;94,3800;94,5720;94,5640
elastic_transform;89,9540;0,3389;90,3180;90,0420;89,5020
pixelate;78,3753;0,7050;79,3720;77,8560;77,8980
jpeg_compression;83,4847;0,3880;82,9360;83,7500;83,7680
speckle_noise;79,1660;1,7760;80,6080;80,2260;76,6640
gaussian_blur;93,1507;0,1898;93,3220;93,2440;92,8860
spatter;92,8187;0,3704;92,4520;93,3260;92,6780
saturate;95,0860;0,1272;94,9660;95,2620;95,0300
blue_noise;89,6967;0,3161;89,2500;89,9360;89,9040
brownish_noise;78,5680;0,7003;79,3080;78,7680;77,6280
checkerboard_cutout;86,7667;0,8189;85,8500;87,8380;86,6120
circular_motion_blur;93,0593;0,2355;92,9280;93,3900;92,8600
inverse_sparkles;70,4320;1,0325;69,2340;70,3080;71,7540
lines;79,5313;0,0377;79,5120;79,5840;79,4980
pinch_and_twirl;92,3200;0,1499;92,4000;92,4500;92,1100
ripple;84,0640;0,3907;83,5260;84,4420;84,2240
sparkles;87,1373;0,2412;87,4660;87,0520;86,8940
transverse_chromatic_abberation;77,9220;1,1614;78,3840;79,0560;76,3260
Acc_C-all-19;87,4759;0,5010;87,8394;87,8208;86,7675
Acc_C-original-15;86,7880;0,4957;87,1733;87,1025;86,0883
Acc_C-bar-10;83,9497;0,2352;83,7858;84,2824;83,7810
Acc_all-ex-pixelwise-noise-24;87,5574;0,1302;87,5027;87,7369;87,4325
RMSCE_C;0,0491;0,0011;0,0483;0,0484;0,0506
Combined_Noise;85,1833;1,2842;85,6500;86,4700;83,4300
