;config_10_avg
Standard_Acc;96,8800
RMSCE;0,0482
gaussian_noise;86,7180
shot_noise;89,2000
impulse_noise;88,7980
defocus_blur;94,9580
glass_blur;87,8420
motion_blur;92,1440
zoom_blur;93,6640
snow;92,4940
frost;93,2980
fog;94,5740
brightness;96,4040
contrast;94,7660
elastic_transform;92,0600
pixelate;85,5000
jpeg_compression;85,4500
speckle_noise;89,6200
gaussian_blur;94,0560
spatter;93,4920
saturate;95,6180
blue_noise;89,9360
brownish_noise;81,3840
checkerboard_cutout;89,4220
circular_motion_blur;93,3440
inverse_sparkles;78,4220
lines;81,2360
pinch_and_twirl;93,8340
ripple;86,6200
sparkles;88,8600
transverse_chromatic_abberation;81,8180
Acc_C-all-19;91,6135
Acc_C-original-15;91,1913
Acc_C-bar-10;86,4876
Acc_all-ex-pixelwise-noise-24;90,0525
RMSCE_C;0,0417
Combined_Noise;90,9500
