;config_527_avg
Standard_Acc;96,5700
RMSCE;0,0675
gaussian_noise;25,6080
shot_noise;38,7160
impulse_noise;50,0460
defocus_blur;87,9180
glass_blur;61,1140
motion_blur;84,9000
zoom_blur;85,1640
snow;88,9980
frost;85,5120
fog;91,9840
brightness;95,3860
contrast;86,7460
elastic_transform;88,4340
pixelate;69,6800
jpeg_compression;78,9280
speckle_noise;42,3360
gaussian_blur;78,5160
spatter;92,8300
saturate;93,7000
blue_noise;79,5600
brownish_noise;73,7960
checkerboard_cutout;87,6080
circular_motion_blur;93,3400
inverse_sparkles;69,7580
lines;82,4820
pinch_and_twirl;92,4900
ripple;82,5380
sparkles;86,1280
transverse_chromatic_abberation;55,1720
Acc_C-all-19;75,0798
Acc_C-original-15;74,6089
Acc_C-bar-10;80,2872
Acc_all-ex-pixelwise-noise-24;83,0468
RMSCE_C;0,1233
Combined_Noise;69,5400
