;config_523_avg
Standard_Acc;96,4800
RMSCE;0,0670
gaussian_noise;87,0040
shot_noise;90,4100
impulse_noise;94,6520
defocus_blur;93,5600
glass_blur;81,4960
motion_blur;89,3740
zoom_blur;92,1500
snow;92,1880
frost;90,6880
fog;93,6980
brightness;95,7300
contrast;93,0500
elastic_transform;90,3200
pixelate;73,4100
jpeg_compression;86,1500
speckle_noise;91,0280
gaussian_blur;91,4720
spatter;94,5840
saturate;94,6600
blue_noise;93,0240
brownish_noise;79,4980
checkerboard_cutout;91,5220
circular_motion_blur;93,8400
inverse_sparkles;76,6140
lines;83,0820
pinch_and_twirl;93,4300
ripple;83,5000
sparkles;88,4020
transverse_chromatic_abberation;69,8440
Acc_C-all-19;90,2960
Acc_C-original-15;89,5920
Acc_C-bar-10;85,2756
Acc_all-ex-pixelwise-noise-24;88,0109
RMSCE_C;0,0640
Combined_Noise;91,9600
