;config_195_avg
Standard_Acc;90,0800
RMSCE;0,0677
gaussian_noise;66,3800
shot_noise;71,9780
impulse_noise;74,3480
defocus_blur;83,0580
glass_blur;48,2000
motion_blur;79,4360
zoom_blur;81,1440
snow;81,7020
frost;80,9000
fog;83,5280
brightness;88,9140
contrast;88,1100
elastic_transform;79,2440
pixelate;77,0580
jpeg_compression;69,0400
speckle_noise;72,8640
gaussian_blur;80,1300
spatter;84,0820
saturate;85,6080
blue_noise;65,6420
brownish_noise;52,7680
checkerboard_cutout;79,2700
circular_motion_blur;85,9640
inverse_sparkles;52,6280
lines;72,5900
pinch_and_twirl;84,4780
ripple;76,5920
sparkles;80,8380
transverse_chromatic_abberation;45,8180
Acc_C-all-19;77,6697
Acc_C-original-15;76,8693
Acc_C-bar-10;69,6588
Acc_all-ex-pixelwise-noise-24;75,8792
RMSCE_C;0,0810
Combined_Noise;89,2000
