;config_514_avg
Standard_Acc;77,7120
RMSCE;0,0813
gaussian_noise;38,8316
shot_noise;37,3352
impulse_noise;30,5656
defocus_blur;40,4076
glass_blur;30,3520
motion_blur;43,3052
zoom_blur;43,2948
snow;36,7604
frost;41,4440
fog;54,0016
brightness;66,9128
contrast;49,1696
elastic_transform;42,6632
pixelate;42,1488
jpeg_compression;56,7764
speckle_noise;44,1804
gaussian_blur;43,2480
spatter;50,0400
saturate;65,6128
blue_noise_sample;50,3848
brownish_noise;62,3044
caustic_refraction;54,3592
checkerboard_cutout;48,8668
cocentric_sine_waves;15,9488
inverse_sparkles;23,7968
perlin_noise;63,3796
plasma_noise;38,4656
single_frequency_greyscale;24,7268
sparkles;62,2696
Acc_C-all-19;45,1079
Acc_C-original-15;43,5979
Acc_C-bar-10;44,4502
Acc_all-ex-pixelwise-noise-24;45,8440
RMSCE_C;0,0650
Combined_Noise;73,5060
