;config_9_avg
Standard_Acc;82,5400
RMSCE;0,0130
gaussian_noise;61,3960
shot_noise;65,2220
impulse_noise;67,0860
defocus_blur;77,9760
glass_blur;64,6500
motion_blur;72,5380
zoom_blur;75,1660
snow;72,7700
frost;72,2600
fog;76,1380
brightness;81,2480
contrast;76,7780
elastic_transform;72,7960
pixelate;68,9800
jpeg_compression;61,5820
speckle_noise;65,8460
gaussian_blur;76,4080
spatter;75,4200
saturate;76,8880
blue_noise;67,4320
brownish_noise;46,0160
checkerboard_cutout;69,5780
circular_motion_blur;75,9040
inverse_sparkles;46,6240
lines;55,6940
pinch_and_twirl;76,2520
ripple;64,7980
sparkles;69,2920
transverse_chromatic_abberation;55,3100
Acc_C-all-19;71,6394
Acc_C-original-15;71,1057
Acc_C-bar-10;62,6900
Acc_all-ex-pixelwise-noise-24;69,2111
RMSCE_C;0,0310
Combined_Noise;71,1500
