;config_1_avg
Standard_Acc;82,3200
RMSCE;0,0148
gaussian_noise;60,6280
shot_noise;64,7020
impulse_noise;66,8140
defocus_blur;77,1100
glass_blur;64,7780
motion_blur;72,2380
zoom_blur;74,2720
snow;72,4560
frost;72,9980
fog;75,8860
brightness;80,8140
contrast;76,9680
elastic_transform;72,1020
pixelate;68,8300
jpeg_compression;62,0400
speckle_noise;65,1580
gaussian_blur;74,9240
spatter;75,2140
saturate;76,4120
blue_noise;66,2260
brownish_noise;44,8260
checkerboard_cutout;68,4020
circular_motion_blur;76,5420
inverse_sparkles;45,7220
lines;55,7280
pinch_and_twirl;76,1020
ripple;66,8400
sparkles;68,7220
transverse_chromatic_abberation;51,8420
Acc_C-all-19;71,2813
Acc_C-original-15;70,8424
Acc_C-bar-10;62,0952
Acc_all-ex-pixelwise-noise-24;68,8237
RMSCE_C;0,0342
Combined_Noise;70,7100
