;config_345_avg;config_345_std;config_345_run_0;config_345_run_1;config_345_run_2;config_345_run_3;config_345_run_4
Standard_Acc;33,2160;40,6816;0,0000;0,0000;0,0000;83,3500;82,7300
RMSCE;;;6438197263212864795471598544293321948506877029128384899438346240,0000;;18293459580025950341334108229605255051963363481366874938422216089404394995122700288,0000;0,0214;0,0224
gaussian_noise;-1444392797242612661518386373011731621896180319136977136108541354848362694891722118155410972873636661074456959972631951981725923138424594138017758188920922204124812046625709776048454816735514048230600722307860599898576604947876001858463382958612982475012640243290502344514404176920087700257261980638773248,0000;inf;-7221963986213062698509806152558715587394502353485616250778528174553843045214457014967761691466551901271343182237518558327072351229081209223890674369411233109499854213587710159537417836398005874228650143410949977442908432288231329686967044455885228265915475249642160920838345690583091808672023028699234304,0000;0,0000;0,0000;55,5000;52,9000
shot_noise;-1577028440079310832070886876599007569075151594895403812044114238524493787198280522470901834252557775786163525561956013408412669587331641287759234040409998456863997774607158547945281579290078470528344816333636883928676584701061302738457033511721530470745183227536515508024213693310754603466445073852399616,0000;inf;0,0000;0,0000;-7885142200396553551272308670495095323289358732277749630456392592934498506747249036545215998361157474829876010184138865460506083473616444972598053626856614373195782853494954019021551649170827985717370613539831397593408331054157834086935297221427968244578190170872226738387393272536426324717938494767366144,0000;62,2000;57,6000
impulse_noise;25,7000;31,4772;0,0000;0,0000;0,0000;64,7000;63,8000
defocus_blur;31,0400;38,0174;0,0000;0,0000;0,0000;77,1000;78,1000
glass_blur;25,6200;31,3953;0,0000;0,0000;0,0000;65,7000;62,4000
motion_blur;28,9800;35,5006;0,0000;0,0000;0,0000;73,6000;71,3000
zoom_blur;29,9000;36,6366;0,0000;0,0000;0,0000;73,0000;76,5000
snow;28,2800;34,6395;0,0000;0,0000;0,0000;71,5000;69,9000
frost;30,3400;37,2088;0,0000;0,0000;0,0000;78,9000;72,8000
fog;30,7800;37,7006;0,0000;0,0000;0,0000;77,7000;76,2000
brightness;32,5600;39,8777;0,0000;0,0000;0,0000;81,5000;81,3000
contrast;31,2600;38,2855;0,0000;0,0000;0,0000;78,2000;78,1000
elastic_transform;28,0800;34,4022;0,0000;0,0000;0,0000;71,6000;68,8000
pixelate;26,2600;32,2088;0,0000;0,0000;0,0000;68,4000;62,9000
jpeg_compression;23,6000;28,9217;0,0000;0,0000;0,0000;60,6000;57,4000
speckle_noise;24,2000;29,6995;0,0000;0,0000;0,0000;63,5000;57,5000
gaussian_blur;28,2000;34,5508;0,0000;0,0000;0,0000;72,0000;69,0000
spatter;30,3000;37,1395;0,0000;0,0000;0,0000;78,1000;73,4000
saturate;30,7600;37,6796;0,0000;0,0000;0,0000;78,0000;75,8000
blue_noise;27,8000;34,0480;0,0000;0,0000;0,0000;69,4000;69,6000
brownish_noise;17,2400;21,1282;0,0000;0,0000;0,0000;44,3000;41,9000
checkerboard_cutout;27,2000;33,3131;0,0000;0,0000;0,0000;68,0000;68,0000
circular_motion_blur;29,5600;36,2079;0,0000;0,0000;0,0000;73,0000;74,8000
inverse_sparkles;17,9800;22,0520;0,0000;0,0000;0,0000;46,8000;43,1000
lines;22,2200;27,2235;0,0000;0,0000;0,0000;56,7000;54,4000
pinch_and_twirl;30,3600;37,1833;0,0000;0,0000;0,0000;75,8000;76,0000
ripple;26,5800;32,5539;0,0000;0,0000;0,0000;66,6000;66,3000
sparkles;27,4000;33,5681;0,0000;0,0000;0,0000;69,8000;67,2000
transverse_chromatic_abberation;20,8000;25,4785;0,0000;0,0000;0,0000;52,7000;51,3000
Acc_C-all-19;27,9737;34,2692;0,0000;0,0000;0,0000;71,1474;68,7211
Acc_C-original-15;27,8693;34,1388;0,0000;0,0000;0,0000;70,6800;68,6667
Acc_C-bar-10;24,7140;30,2702;0,0000;0,0000;0,0000;62,3100;61,2600
Acc_all-ex-pixelwise-noise-24;27,3042;33,4454;0,0000;0,0000;0,0000;69,1500;67,3708
RMSCE_C;0,0349;0,0430;0,0000;0,0000;0,0000;0,0807;0,0939
Combined_Noise;27,3380;33,4937;0,0000;0,0000;0,0000;69,7400;66,9500
