;config_21_avg
Standard_Acc;81,3800
RMSCE;0,0183
gaussian_noise;70,4340
shot_noise;73,1920
impulse_noise;80,4340
defocus_blur;75,9720
glass_blur;57,5000
motion_blur;69,7580
zoom_blur;73,0200
snow;69,3760
frost;65,3200
fog;72,4680
brightness;79,9440
contrast;75,2060
elastic_transform;70,8840
pixelate;59,3520
jpeg_compression;59,0000
speckle_noise;73,6160
gaussian_blur;73,7280
spatter;76,4220
saturate;74,5460
blue_noise;78,0100
brownish_noise;41,4580
checkerboard_cutout;69,4020
circular_motion_blur;76,0900
inverse_sparkles;40,8980
lines;56,7920
pinch_and_twirl;75,0080
ripple;64,7600
sparkles;67,2340
transverse_chromatic_abberation;43,3500
Acc_C-all-19;71,0617
Acc_C-original-15;70,1240
Acc_C-bar-10;61,3002
Acc_all-ex-pixelwise-noise-24;66,1453
RMSCE_C;0,0600
Combined_Noise;76,4400
