;config_364_avg;config_364_std;config_364_run_0;config_364_run_1;config_364_run_2;config_364_run_3;config_364_run_4
Standard_Acc;89,3140;5,7615;94,2400;94,0400;93,7700;82,2900;82,2300
RMSCE;0,0582;0,0300;0,0834;0,0844;0,0800;0,0240;0,0190
gaussian_noise;66,7800;3,7043;69,7000;70,0000;69,6000;63,2000;61,4000
shot_noise;70,6800;4,9357;72,1000;75,1000;76,4000;64,3000;65,5000
impulse_noise;69,6400;4,2392;75,2000;69,5000;73,4000;63,9000;66,2000
defocus_blur;83,4200;5,5823;88,0000;87,8000;88,1000;77,2000;76,0000
glass_blur;69,8400;4,0927;74,5000;71,3000;72,9000;67,3000;63,2000
motion_blur;78,9800;5,4734;84,3000;83,3000;82,6000;73,3000;71,4000
zoom_blur;81,1400;5,0934;85,5000;85,2000;85,0000;73,6000;76,4000
snow;77,0000;5,3389;79,1000;81,5000;83,1000;70,7000;70,6000
frost;82,5200;5,0340;86,6000;84,4000;88,3000;78,1000;75,2000
fog;82,5200;4,2766;85,5000;86,6000;85,9000;77,3000;77,3000
brightness;87,2400;5,4017;92,4000;91,3000;91,2000;80,3000;81,0000
contrast;82,7200;4,6149;85,9000;87,2000;86,3000;77,5000;76,7000
elastic_transform;77,9800;5,6718;82,3000;81,5000;83,9000;71,3000;70,9000
pixelate;75,8000;6,2113;80,8000;80,6000;81,2000;68,5000;67,9000
jpeg_compression;65,3800;3,3731;70,1000;65,8000;67,8000;61,6000;61,6000
speckle_noise;70,4000;4,6913;76,5000;72,9000;72,8000;65,3000;64,5000
gaussian_blur;76,6000;5,5060;80,0000;80,3000;82,7000;71,0000;69,0000
spatter;81,0600;4,7660;84,7000;83,8000;86,1000;76,4000;74,3000
saturate;82,0000;5,3580;87,8000;84,1000;86,8000;76,6000;74,7000
blue_noise;68,7000;4,7329;71,2000;66,5000;76,8000;64,6000;64,4000
brownish_noise;46,3600;2,3517;48,1000;45,2000;50,0000;43,5000;45,0000
checkerboard_cutout;72,7400;3,8114;75,0000;75,0000;77,2000;67,2000;69,3000
circular_motion_blur;81,6600;6,2730;87,2000;85,8000;87,0000;72,2000;76,1000
inverse_sparkles;48,0600;1,5055;47,8000;48,8000;50,1000;48,1000;45,5000
lines;59,9000;4,3740;61,6000;63,1000;65,2000;53,7000;55,9000
pinch_and_twirl;82,7400;4,8206;86,6000;87,2000;86,2000;77,0000;76,7000
ripple;72,7600;5,3958;76,9000;75,5000;78,8000;67,0000;65,6000
sparkles;73,5400;4,7403;76,2000;78,6000;77,1000;69,2000;66,6000
transverse_chromatic_abberation;58,5000;2,8071;60,2000;56,6000;62,5000;58,8000;54,4000
Acc_C-all-19;76,9316;4,7960;81,1053;80,1158;81,2684;71,4421;70,7263
Acc_C-original-15;76,7760;4,7454;80,8000;80,0733;81,0467;71,2067;70,7533
Acc_C-bar-10;66,4960;3,7554;69,0800;68,2300;71,0900;62,1300;61,9500
Acc_all-ex-pixelwise-noise-24;74,1858;4,4900;77,7958;77,1042;78,5833;69,0583;68,3875
RMSCE_C;0,0709;0,0031;0,0674;0,0736;0,0701;0,0681;0,0754
Combined_Noise;75,8600;4,4784;79,5300;79,1100;79,8800;70,7400;70,0400
