;config_173_avg
Standard_Acc;80,3600
RMSCE;0,0622
gaussian_noise;44,8760
shot_noise;49,9320
impulse_noise;41,5580
defocus_blur;67,9400
glass_blur;53,7400
motion_blur;62,5900
zoom_blur;63,9900
snow;66,1600
frost;66,1740
fog;68,4840
brightness;78,1340
contrast;59,0720
elastic_transform;66,7000
pixelate;64,6340
jpeg_compression;57,8400
speckle_noise;50,0640
gaussian_blur;60,8020
spatter;69,4400
saturate;70,6540
blue_noise;47,0480
brownish_noise;37,1100
checkerboard_cutout;60,2160
circular_motion_blur;72,0080
inverse_sparkles;43,3420
lines;52,6680
pinch_and_twirl;72,4240
ripple;64,0560
sparkles;62,4020
transverse_chromatic_abberation;43,4280
Acc_C-all-19;61,1992
Acc_C-original-15;60,7883
Acc_C-bar-10;55,4702
Acc_all-ex-pixelwise-noise-24;61,8337
RMSCE_C;0,1568
Combined_Noise;58,3500
