;config_14_avg
Standard_Acc;81,0400
RMSCE;0,0214
gaussian_noise;60,0860
shot_noise;64,4260
impulse_noise;66,6940
defocus_blur;75,3320
glass_blur;62,5860
motion_blur;69,9160
zoom_blur;72,1820
snow;70,6840
frost;69,8980
fog;73,6720
brightness;79,2080
contrast;73,9460
elastic_transform;70,6360
pixelate;69,0300
jpeg_compression;60,4620
speckle_noise;64,8020
gaussian_blur;73,0100
spatter;73,6560
saturate;74,5700
blue_noise;64,3360
brownish_noise;44,2000
checkerboard_cutout;67,5600
circular_motion_blur;74,3980
inverse_sparkles;44,6920
lines;53,5700
pinch_and_twirl;74,5020
ripple;65,4320
sparkles;68,0420
transverse_chromatic_abberation;50,0220
Acc_C-all-19;69,7261
Acc_C-original-15;69,2505
Acc_C-bar-10;60,6754
Acc_all-ex-pixelwise-noise-24;67,1336
RMSCE_C;0,0293
Combined_Noise;68,8000
