;config_329_avg;config_329_std;config_329_run_0;config_329_run_1;config_329_run_2;config_329_run_3;config_329_run_4
Standard_Acc;79,2380;0,2647;79,1100;78,9500;79,5200;79,5900;79,0200
RMSCE;0,0236;0,0042;0,0184;0,0264;0,0221;0,0209;0,0301
gaussian_noise;59,7400;1,5832;57,5000;61,9000;59,4000;61,1000;58,8000
shot_noise;63,5400;1,6524;62,9000;65,3000;65,6000;61,3000;62,6000
impulse_noise;63,4000;1,2133;61,5000;63,5000;63,1000;65,3000;63,6000
defocus_blur;74,2800;1,1143;73,2000;73,6000;74,0000;76,4000;74,2000
glass_blur;61,2800;1,1652;60,9000;61,6000;59,6000;63,2000;61,1000
motion_blur;68,4400;1,4921;68,2000;70,9000;69,0000;67,7000;66,4000
zoom_blur;70,7600;1,5292;69,0000;72,7000;70,6000;69,2000;72,3000
snow;66,8200;1,2432;66,1000;65,3000;68,3000;68,3000;66,1000
frost;72,0400;1,6095;70,1000;70,5000;73,5000;74,2000;71,9000
fog;72,1400;1,9085;70,4000;69,4000;74,3000;73,7000;72,9000
brightness;77,3400;1,2753;75,2000;76,9000;77,5000;79,0000;78,1000
contrast;73,2000;1,0257;71,6000;72,7000;73,4000;74,7000;73,6000
elastic_transform;68,4600;1,8575;71,8000;67,1000;68,5000;68,5000;66,4000
pixelate;62,4200;1,7198;62,5000;60,6000;64,7000;63,9000;60,4000
jpeg_compression;56,8600;2,2580;57,2000;53,4000;59,1000;59,3000;55,3000
speckle_noise;63,3400;1,7223;65,6000;62,0000;61,0000;64,9000;63,2000
gaussian_blur;64,6000;2,1698;64,5000;61,9000;67,6000;66,4000;62,6000
spatter;71,1200;2,1858;71,2000;72,4000;69,4000;74,4000;68,2000
saturate;72,8800;1,3673;71,0000;72,8000;74,3000;74,5000;71,8000
blue_noise;60,9200;1,0852;59,7000;60,0000;60,7000;62,7000;61,5000
brownish_noise;42,9000;2,3401;45,4000;38,9000;45,1000;42,7000;42,4000
checkerboard_cutout;64,6400;0,9831;64,3000;63,8000;64,7000;66,5000;63,9000
circular_motion_blur;71,2200;0,8795;70,7000;72,4000;72,1000;70,8000;70,1000
inverse_sparkles;41,7400;1,7223;42,3000;39,7000;40,5000;44,7000;41,5000
lines;52,0000;1,9442;50,0000;49,6000;52,9000;54,8000;52,7000
pinch_and_twirl;72,7600;0,9222;72,4000;72,0000;71,9000;73,1000;74,4000
ripple;64,3400;2,2258;67,0000;61,3000;65,6000;65,7000;62,1000
sparkles;63,8400;0,7658;62,7000;64,6000;63,2000;64,6000;64,1000
transverse_chromatic_abberation;47,9800;2,0173;48,5000;45,3000;49,6000;50,5000;46,0000
Acc_C-all-19;67,5084;0,7590;66,8632;67,0789;68,0474;68,7368;66,8158
Acc_C-original-15;67,3813;0,7067;66,5400;67,0267;68,0400;68,3867;66,9133
Acc_C-bar-10;58,2340;0,9338;58,3000;56,7600;58,6300;59,6100;57,8700
Acc_all-ex-pixelwise-noise-24;64,7525;0,8778;64,4250;63,7250;65,3917;66,1167;64,1042
RMSCE_C;0,0948;0,0104;0,0937;0,0998;0,0881;0,0810;0,1115
Combined_Noise;68,1120;0,6054;67,4900;67,4800;68,6200;68,9900;67,9800
