;config_2_avg
Standard_Acc;82,5000
RMSCE;0,0127
gaussian_noise;63,1420
shot_noise;66,9880
impulse_noise;67,6000
defocus_blur;77,7300
glass_blur;65,0280
motion_blur;71,6880
zoom_blur;75,1620
snow;72,2880
frost;72,4280
fog;75,9760
brightness;81,1660
contrast;76,9160
elastic_transform;72,5500
pixelate;68,9280
jpeg_compression;61,0420
speckle_noise;67,5120
gaussian_blur;75,7980
spatter;75,3480
saturate;76,8860
blue_noise;67,2820
brownish_noise;46,4560
checkerboard_cutout;68,6380
circular_motion_blur;76,5540
inverse_sparkles;45,8860
lines;55,9440
pinch_and_twirl;76,2340
ripple;65,5300
sparkles;68,9740
transverse_chromatic_abberation;55,8220
Acc_C-all-19;71,7987
Acc_C-original-15;71,2421
Acc_C-bar-10;62,7320
Acc_all-ex-pixelwise-noise-24;69,1238
RMSCE_C;0,0395
Combined_Noise;71,2800
