;config_151_avg;config_151_std;config_151_run_0;config_151_run_1;config_151_run_2;config_151_run_3;config_151_run_4
Standard_Acc;81,8240;0,1505;81,5800;82,0200;81,8300;81,9300;81,7600
RMSCE;0,0322;0,0037;0,0373;0,0269;0,0332;0,0344;0,0290
gaussian_noise;51,7800;1,1089;49,9000;51,5000;52,2000;53,3000;52,0000
shot_noise;56,8600;1,6488;56,0000;58,2000;59,4000;55,2000;55,5000
impulse_noise;31,6600;1,4623;31,2000;30,3000;34,5000;31,0000;31,3000
defocus_blur;72,1600;1,2110;72,0000;71,8000;71,4000;74,5000;71,1000
glass_blur;59,6800;0,7467;59,7000;58,4000;59,6000;60,7000;60,0000
motion_blur;69,3000;1,4792;68,6000;72,2000;69,1000;68,3000;68,3000
zoom_blur;68,4600;1,7749;68,4000;71,4000;69,2000;66,7000;66,6000
snow;68,4800;1,2560;67,8000;66,7000;68,1000;69,7000;70,1000
frost;74,1600;1,1182;72,6000;73,3000;74,2000;75,0000;75,7000
fog;71,7600;0,9604;71,1000;71,6000;73,4000;70,6000;72,1000
brightness;78,3000;1,4629;78,3000;75,6000;80,0000;78,9000;78,7000
contrast;63,5000;0,6573;64,0000;63,8000;63,8000;63,7000;62,2000
elastic_transform;69,8200;1,2797;71,2000;70,1000;70,7000;69,6000;67,5000
pixelate;69,0400;0,8777;68,2000;69,4000;68,5000;70,6000;68,5000
jpeg_compression;60,9600;0,8261;60,5000;59,9000;62,4000;61,0000;61,0000
speckle_noise;55,0400;2,1887;56,6000;51,2000;54,0000;57,0000;56,4000
gaussian_blur;59,2600;1,9148;59,2000;57,5000;61,3000;61,5000;56,8000
spatter;71,7000;2,5636;68,7000;75,2000;72,1000;73,6000;68,9000
saturate;72,6400;1,1056;70,7000;72,5000;73,9000;73,5000;72,6000
blue_noise;48,4800;1,9974;49,7000;45,7000;51,4000;47,0000;48,6000
brownish_noise;40,1800;1,7566;41,1000;37,2000;42,2000;39,3000;41,1000
checkerboard_cutout;60,5400;0,6280;59,9000;60,8000;60,7000;61,5000;59,8000
circular_motion_blur;72,0800;0,7833;72,7000;72,4000;73,0000;71,2000;71,1000
inverse_sparkles;46,7400;2,5152;42,4000;47,1000;48,4000;49,8000;46,0000
lines;53,5800;2,1609;50,0000;52,9000;55,5000;53,4000;56,1000
pinch_and_twirl;74,4000;1,1402;72,9000;75,6000;73,5000;74,2000;75,8000
ripple;65,4200;2,0331;65,8000;66,3000;63,9000;68,5000;62,6000
sparkles;64,0600;2,3474;60,7000;66,9000;62,1000;66,1000;64,5000
transverse_chromatic_abberation;51,5200;1,6461;53,1000;49,6000;51,9000;53,4000;49,6000
Acc_C-all-19;64,4505;0,5107;63,9316;64,2421;65,1474;64,9684;63,9632
Acc_C-original-15;64,3947;0,4139;63,9667;64,2800;65,1000;64,5867;64,0400
Acc_C-bar-10;57,7000;0,5853;56,8300;57,4500;58,2600;58,4400;57,5200
Acc_all-ex-pixelwise-noise-24;64,9058;0,5540;64,1500;64,9250;65,3708;65,6375;64,4458
RMSCE_C;0,1198;0,0064;0,1322;0,1180;0,1173;0,1140;0,1177
Combined_Noise;55,3880;0,7516;54,6000;56,0900;55,9800;55,9200;54,3500
