;config_488_avg;config_488_std;config_488_run_0;config_488_run_1;config_488_run_2
Standard_Acc;80,6467;0,1957;80,7900;80,3700;80,7800
RMSCE;0,0188;0,0010;0,0174;0,0192;0,0198
gaussian_noise;61,0947;1,0798;61,5360;59,6080;62,1400
shot_noise;64,6193;1,1052;65,2460;63,0660;65,5460
impulse_noise;67,9600;0,5882;68,4220;67,1300;68,3280
defocus_blur;75,5913;0,1446;75,4660;75,5140;75,7940
glass_blur;62,5120;0,3420;62,7180;62,0300;62,7880
motion_blur;71,0353;0,4219;70,7320;70,7420;71,6320
zoom_blur;73,2633;0,2344;73,5860;73,1680;73,0360
snow;72,4847;0,6255;72,4940;71,7140;73,2460
frost;70,7060;0,9491;70,6040;69,5980;71,9160
fog;74,1573;0,5558;74,1200;73,4960;74,8560
brightness;79,3547;0,2333;79,5980;79,0400;79,4260
contrast;75,4913;0,3560;75,2640;75,2160;75,9940
elastic_transform;71,0980;0,2474;71,1000;70,7940;71,4000
pixelate;54,8060;1,7552;53,2560;53,9020;57,2600
jpeg_compression;57,1953;1,0903;55,9480;57,0340;58,6040
speckle_noise;65,4107;1,0457;66,1300;63,9320;66,1700
gaussian_blur;72,7480;0,0986;72,7640;72,6200;72,8600
spatter;75,8000;0,3125;76,0220;75,3580;76,0200
saturate;75,1227;0,2100;75,2580;74,8260;75,2840
blue_noise;67,6260;0,3898;68,1660;67,4520;67,2600
brownish_noise;48,5360;1,3909;50,1840;46,7820;48,6420
checkerboard_cutout;73,1207;0,3753;73,0380;72,7080;73,6160
circular_motion_blur;76,6880;0,1374;76,8720;76,5420;76,6500
inverse_sparkles;47,5493;1,5328;47,3020;45,8080;49,5380
lines;59,9787;0,7024;60,3000;59,0040;60,6320
pinch_and_twirl;74,4800;0,4088;74,7780;73,9020;74,7600
ripple;64,4793;0,8163;63,3800;65,3340;64,7240
sparkles;69,8953;0,5253;69,8720;69,2640;70,5500
transverse_chromatic_abberation;52,5973;1,1965;53,4860;53,4000;50,9060
Acc_C-all-19;69,4974;0,5052;69,4876;68,8836;70,1211
Acc_C-original-15;68,7580;0,5453;68,6727;68,1368;69,4644
Acc_C-bar-10;63,4951;0,3362;63,7378;63,0196;63,7278
Acc_all-ex-pixelwise-noise-24;67,8621;0,3803;67,8392;67,4082;68,3389
RMSCE_C;0,0411;0,0024;0,0386;0,0444;0,0403
Combined_Noise;71,0600;0,2454;70,9500;70,8300;71,4000
