;config_3_avg;config_3_std;config_3_run_0;config_3_run_1;config_3_run_2
Standard_Acc;77,4100;0,1395;77,5700;77,2300;77,4300
RMSCE;0,0397;0,0017;0,0406;0,0373;0,0412
gaussian_noise;15,7793;1,2089;14,1480;17,0380;16,1520
shot_noise;24,8540;1,0585;23,3940;25,8700;25,2980
impulse_noise;22,5740;1,1042;24,0860;21,4800;22,1560
defocus_blur;62,2893;0,5005;62,9220;61,6980;62,2480
glass_blur;21,1120;0,7303;20,1760;21,2020;21,9580
motion_blur;56,1387;0,1580;56,3620;56,0220;56,0320
zoom_blur;57,3493;0,6682;58,2520;56,6560;57,1400
snow;55,4607;0,2556;55,1040;55,6900;55,5880
frost;50,8900;1,0443;49,4220;51,7640;51,4840
fog;62,7887;0,1262;62,9080;62,8440;62,6140
brightness;74,1333;0,4150;74,6200;74,1740;73,6060
contrast;50,9147;0,2752;51,3020;50,6880;50,7540
elastic_transform;61,5767;0,0934;61,5660;61,4680;61,6960
pixelate;50,3927;2,3204;49,1520;48,3820;53,6440
jpeg_compression;50,0527;0,8655;49,5540;49,3340;51,2700
speckle_noise;26,7687;0,7960;25,6520;27,4500;27,2040
gaussian_blur;53,8767;0,3694;54,3580;53,4600;53,8120
spatter;61,0187;0,9099;62,1800;59,9580;60,9180
saturate;64,4033;0,0839;64,4980;64,4180;64,2940
blue_noise;20,8333;2,0406;22,4140;17,9520;22,1340
brownish_noise;31,0527;0,9427;31,2560;32,0920;29,8100
checkerboard_cutout;53,1347;0,4959;53,8340;52,7400;52,8300
circular_motion_blur;70,0960;0,4544;69,8700;69,6880;70,7300
inverse_sparkles;32,1380;0,2984;31,8100;32,5320;32,0720
lines;46,2107;0,2688;46,5900;46,0420;46,0000
pinch_and_twirl;68,1493;0,0515;68,2140;68,1460;68,0880
ripple;55,1647;1,8194;55,6920;52,7200;57,0820
sparkles;54,2360;0,2275;54,0180;54,1400;54,5500
transverse_chromatic_abberation;34,3220;1,0311;33,9680;35,7240;33,2740
Acc_C-all-19;48,5460;0,2045;48,4029;48,3998;48,8352
Acc_C-original-15;47,7537;0,2541;47,5312;47,6207;48,1093
Acc_C-bar-10;46,5337;0,2558;46,7666;46,1776;46,6570
Acc_all-ex-pixelwise-noise-24;53,2042;0,1700;53,2345;52,9826;53,3956
RMSCE_C;0,1725;0,0054;0,1801;0,1683;0,1692
Combined_Noise;45,0900;1,1163;43,6300;46,3400;45,3000
