;config_301_avg;config_301_std;config_301_run_0;config_301_run_1;config_301_run_2;config_301_run_3;config_301_run_4
Standard_Acc;79,9460;0,2560;79,6100;79,7300;80,3400;80,0400;80,0100
RMSCE;0,0259;0,0037;0,0209;0,0321;0,0271;0,0248;0,0247
gaussian_noise;53,7000;3,2760;50,7000;54,5000;58,2000;55,8000;49,3000
shot_noise;59,1400;3,1436;58,6000;59,5000;64,9000;56,7000;56,0000
impulse_noise;60,3000;0,8741;60,6000;61,1000;61,0000;58,7000;60,1000
defocus_blur;73,9400;1,0819;72,3000;73,9000;73,4000;75,5000;74,6000
glass_blur;60,6200;1,2254;62,3000;60,9000;58,9000;61,4000;59,6000
motion_blur;68,5600;0,9992;68,5000;69,5000;69,8000;67,9000;67,1000
zoom_blur;70,3200;2,0262;70,2000;72,8000;69,6000;67,0000;72,0000
snow;67,0400;1,4389;64,5000;66,9000;68,1000;68,7000;67,0000
frost;72,6600;1,4122;70,1000;72,3000;74,0000;73,8000;73,1000
fog;72,6200;1,9904;69,7000;70,9000;74,7000;73,3000;74,5000
brightness;78,2200;1,2921;76,7000;77,6000;77,3000;79,5000;80,0000
contrast;73,5400;0,8405;72,4000;74,3000;73,2000;73,1000;74,7000
elastic_transform;68,1200;1,2221;69,3000;67,3000;69,8000;67,6000;66,6000
pixelate;59,4800;2,0064;57,3000;59,1000;58,3000;63,2000;59,5000
jpeg_compression;56,8800;1,4932;55,0000;55,6000;57,9000;59,1000;56,8000
speckle_noise;59,3800;2,4128;62,5000;56,1000;59,8000;61,3000;57,2000
gaussian_blur;64,4600;1,7996;63,3000;62,9000;67,9000;64,5000;63,7000
spatter;72,0800;1,8872;71,2000;72,4000;72,2000;75,2000;69,4000
saturate;73,6200;0,7054;73,0000;73,8000;74,8000;73,7000;72,8000
blue_noise;63,0000;1,5323;62,9000;63,7000;62,2000;60,8000;65,4000
brownish_noise;42,2600;2,7038;44,9000;37,2000;43,2000;42,0000;44,0000
checkerboard_cutout;65,9800;0,4261;65,7000;66,0000;65,7000;65,7000;66,8000
circular_motion_blur;71,4600;0,4128;72,1000;71,4000;70,9000;71,2000;71,7000
inverse_sparkles;40,6600;1,1621;38,8000;40,4000;40,6000;42,4000;41,1000
lines;52,1200;1,9415;50,7000;49,2000;54,5000;53,7000;52,5000
pinch_and_twirl;73,4200;0,5154;73,8000;72,8000;73,3000;73,0000;74,2000
ripple;62,2200;1,0342;62,8000;60,9000;61,8000;63,9000;61,7000
sparkles;64,4600;1,2306;64,3000;65,8000;62,3000;65,5000;64,4000
transverse_chromatic_abberation;44,6200;1,4959;43,4000;44,4000;46,7000;45,9000;42,7000
Acc_C-all-19;66,5621;0,7022;65,6947;66,3895;67,5684;67,1579;66,0000
Acc_C-original-15;66,3427;0,6921;65,2133;66,4133;67,2733;66,7533;66,0600
Acc_C-bar-10;58,0200;0,4602;57,9400;57,1800;58,1200;58,4100;58,4500
Acc_all-ex-pixelwise-noise-24;64,5567;0,5303;63,8458;64,0958;64,9542;65,2833;64,6042
RMSCE_C;0,0976;0,0043;0,1018;0,1009;0,0896;0,0973;0,0983
Combined_Noise;66,0460;1,2887;64,3500;65,6800;68,0800;66,8200;65,3000
