;config_106_avg;config_106_std;config_106_run_0;config_106_run_1;config_106_run_2
Standard_Acc;76,3367;0,1482;76,4100;76,1300;76,4700
RMSCE;0,0888;0,0036;0,0860;0,0939;0,0866
gaussian_noise;20,1627;0,9530;20,2240;18,9660;21,2980
shot_noise;29,7380;0,8725;29,6120;28,7380;30,8640
impulse_noise;25,4787;2,0676;27,2480;26,6100;22,5780
defocus_blur;62,0620;0,6000;61,4380;61,8760;62,8720
glass_blur;23,7273;0,9349;24,3480;24,4280;22,4060
motion_blur;56,6753;0,3222;56,5200;56,3820;57,1240
zoom_blur;57,7973;0,7657;56,9700;57,6060;58,8160
snow;56,4740;0,6425;56,9000;56,9560;55,5660
frost;52,8080;0,6166;53,5860;52,7600;52,0780
fog;62,4640;0,3594;62,3860;62,0680;62,9380
brightness;74,0640;0,1771;74,1580;73,8160;74,2180
contrast;50,2627;0,5423;50,3580;49,5560;50,8740
elastic_transform;61,2753;0,3638;60,7900;61,3700;61,6660
pixelate;50,7553;1,0719;51,3380;51,6760;49,2520
jpeg_compression;54,0600;0,1598;54,1760;54,1700;53,8340
speckle_noise;31,4627;0,9733;31,4560;30,2740;32,6580
gaussian_blur;54,5193;0,8042;53,9840;53,9180;55,6560
spatter;63,0153;0,3827;63,3700;63,1920;62,4840
saturate;65,5607;0,1381;65,7400;65,4040;65,5380
blue_noise;28,8207;0,2199;28,9420;28,5120;29,0080
brownish_noise;35,9187;0,6743;35,7720;35,1760;36,8080
checkerboard_cutout;53,6040;0,6607;54,5360;53,1960;53,0800
circular_motion_blur;67,6187;0,7276;68,6060;67,3760;66,8740
inverse_sparkles;32,1353;0,9453;33,0860;32,4740;30,8460
lines;47,8333;0,2174;47,5740;47,8200;48,1060
pinch_and_twirl;68,3567;0,2455;68,0280;68,6180;68,4240
ripple;55,4167;0,8666;56,3420;55,6500;54,2580
sparkles;56,6260;0,5188;57,2360;56,6740;55,9680
transverse_chromatic_abberation;35,7660;0,2314;36,0400;35,4740;35,7840
Acc_C-all-19;50,1244;0,1048;50,2422;49,9877;50,1432
Acc_C-original-15;49,1870;0,1072;49,3368;49,1319;49,0923
Acc_C-bar-10;48,2096;0,2969;48,6162;48,0970;47,9156
Acc_all-ex-pixelwise-noise-24;54,1165;0,1372;54,3034;54,0682;53,9779
RMSCE_C;0,2395;0,0040;0,2379;0,2451;0,2356
Combined_Noise;47,7033;0,4299;47,9400;48,0700;47,1000
