;config_7_avg
Standard_Acc;80,5300
RMSCE;0,0142
gaussian_noise;59,8380
shot_noise;63,7560
impulse_noise;65,7800
defocus_blur;75,1460
glass_blur;63,3500
motion_blur;69,6260
zoom_blur;72,3400
snow;71,2660
frost;71,1220
fog;74,1300
brightness;79,0720
contrast;74,2900
elastic_transform;70,3300
pixelate;67,3860
jpeg_compression;60,5820
speckle_noise;64,0860
gaussian_blur;72,6940
spatter;73,0860
saturate;74,2800
blue_noise;62,7480
brownish_noise;42,9740
checkerboard_cutout;66,7420
circular_motion_blur;74,1340
inverse_sparkles;44,5040
lines;54,6420
pinch_and_twirl;74,7440
ripple;64,4880
sparkles;67,4060
transverse_chromatic_abberation;48,3640
Acc_C-all-19;69,5874
Acc_C-original-15;69,2009
Acc_C-bar-10;60,0746
Acc_all-ex-pixelwise-noise-24;66,9458
RMSCE_C;0,0523
Combined_Noise;69,4400
