;config_5_avg
Standard_Acc;82,5300
RMSCE;0,0107
gaussian_noise;61,6300
shot_noise;65,9100
impulse_noise;68,5540
defocus_blur;77,6040
glass_blur;64,8320
motion_blur;72,2100
zoom_blur;74,6460
snow;72,8160
frost;72,5780
fog;76,2500
brightness;80,9100
contrast;76,9880
elastic_transform;72,7000
pixelate;68,7480
jpeg_compression;61,9060
speckle_noise;66,4500
gaussian_blur;75,4220
spatter;75,8280
saturate;76,6180
blue_noise;68,2540
brownish_noise;46,2700
checkerboard_cutout;69,7760
circular_motion_blur;76,5300
inverse_sparkles;46,4660
lines;56,8500
pinch_and_twirl;76,1440
ripple;66,0140
sparkles;69,2380
transverse_chromatic_abberation;51,6840
Acc_C-all-19;71,7158
Acc_C-original-15;71,2188
Acc_C-bar-10;62,7226
Acc_all-ex-pixelwise-noise-24;69,1262
RMSCE_C;0,0353
Combined_Noise;71,2200
