;config_545_avg;config_545_std;config_545_run_0;config_545_run_1;config_545_run_2
Standard_Acc;81,8600;0,0163;81,8800;81,8600;81,8400
RMSCE;0,0144;0,0004;0,0144;0,0139;0,0148
gaussian_noise;61,4380;0,7779;62,5380;60,8780;60,8980
shot_noise;65,1560;0,7772;66,2320;64,8120;64,4240
impulse_noise;64,6340;0,1417;64,7600;64,7060;64,4360
defocus_blur;77,0660;0,0455;77,0020;77,1040;77,0920
glass_blur;63,9793;0,2942;64,0360;64,3080;63,5940
motion_blur;72,6287;0,0673;72,5980;72,7220;72,5660
zoom_blur;74,6740;0,3636;74,2100;75,0980;74,7140
snow;71,7987;0,1321;71,8980;71,8860;71,6120
frost;71,9787;0,5586;72,4340;72,3100;71,1920
fog;75,6847;0,0956;75,5500;75,7420;75,7620
brightness;80,2800;0,1497;80,3200;80,0800;80,4400
contrast;76,1900;0,2687;76,5660;75,9540;76,0500
elastic_transform;72,5613;0,2203;72,6840;72,7480;72,2520
pixelate;68,3747;0,4079;68,9500;68,1240;68,0500
jpeg_compression;61,5307;0,3599;61,9860;61,1060;61,5000
speckle_noise;65,6973;0,7098;66,6980;65,2660;65,1280
gaussian_blur;74,6953;0,1698;74,4680;74,7420;74,8760
spatter;74,3893;0,2206;74,6280;74,4440;74,0960
saturate;75,9353;0,0657;75,9660;75,8440;75,9960
blue_noise;62,9980;0,9716;62,2960;62,3260;64,3720
brownish_noise;43,3407;0,9227;43,5460;42,1220;44,3540
checkerboard_cutout;67,4080;0,3944;67,9560;67,0440;67,2240
circular_motion_blur;75,6453;0,1970;75,6000;75,4300;75,9060
inverse_sparkles;46,1307;0,2908;46,0080;46,5320;45,8520
lines;55,9893;0,1130;56,1400;55,8680;55,9600
pinch_and_twirl;75,6760;0,0821;75,6380;75,7900;75,6000
ripple;64,8820;0,8682;65,8400;65,0680;63,7380
sparkles;68,7353;0,1849;68,8600;68,4740;68,8720
transverse_chromatic_abberation;53,9273;0,6246;53,8000;54,7480;53,2340
Acc_C-all-19;70,9838;0,1925;71,2381;70,9407;70,7725
Acc_C-original-15;70,5316;0,1964;70,7843;70,5052;70,3055
Acc_C-bar-10;61,4733;0,0969;61,5684;61,3402;61,5112
Acc_all-ex-pixelwise-noise-24;68,4792;0,1048;68,6118;68,4703;68,3555
RMSCE_C;0,0449;0,0037;0,0410;0,0439;0,0498
Combined_Noise;70,0167;0,4362;70,3400;70,3100;69,4000
