;config_268_avg
Standard_Acc;79,8900
RMSCE;0,0327
gaussian_noise;52,0040
shot_noise;56,3520
impulse_noise;29,1940
defocus_blur;70,4720
glass_blur;59,1880
motion_blur;67,0760
zoom_blur;67,3220
snow;67,5360
frost;69,6780
fog;69,9360
brightness;77,5760
contrast;61,2900
elastic_transform;69,5040
pixelate;68,4500
jpeg_compression;60,7040
speckle_noise;54,2980
gaussian_blur;64,6840
spatter;69,5740
saturate;71,8180
blue_noise;44,1320
brownish_noise;39,4260
checkerboard_cutout;59,5940
circular_motion_blur;70,3720
inverse_sparkles;46,9780
lines;52,8200
pinch_and_twirl;74,0440
ripple;61,8400
sparkles;61,8880
transverse_chromatic_abberation;51,4560
Acc_C-all-19;63,5082
Acc_C-original-15;63,0855
Acc_C-bar-10;56,2550
Acc_all-ex-pixelwise-noise-24;63,8844
RMSCE_C;0,0921
Combined_Noise;55,3700
