;config_266_avg
Standard_Acc;80,1100
RMSCE;0,0350
gaussian_noise;50,8020
shot_noise;55,1360
impulse_noise;33,1120
defocus_blur;69,2320
glass_blur;56,9280
motion_blur;65,6760
zoom_blur;65,9840
snow;66,8720
frost;70,0560
fog;70,0260
brightness;78,3160
contrast;60,3700
elastic_transform;67,6760
pixelate;67,2400
jpeg_compression;59,4860
speckle_noise;53,5360
gaussian_blur;62,9180
spatter;69,4420
saturate;71,1640
blue_noise;46,5860
brownish_noise;37,7440
checkerboard_cutout;58,3320
circular_motion_blur;71,0620
inverse_sparkles;45,1580
lines;52,0880
pinch_and_twirl;73,2940
ripple;60,8060
sparkles;63,0020
transverse_chromatic_abberation;47,6240
Acc_C-all-19;62,8406
Acc_C-original-15;62,4608
Acc_C-bar-10;55,5696
Acc_all-ex-pixelwise-noise-24;62,9373
RMSCE_C;0,0972
Combined_Noise;57,4700
