;config_443_avg;config_443_std;config_443_run_0;config_443_run_1;config_443_run_2
Standard_Acc;96,1700;0,1920;95,9300;96,4000;96,1800
RMSCE;0,0522;0,0025;0,0496;0,0514;0,0555
gaussian_noise;86,3893;0,1890;86,1440;86,6040;86,4200
shot_noise;88,6380;0,2279;88,3260;88,8640;88,7240
impulse_noise;87,5920;0,5874;87,2080;87,1460;88,4220
defocus_blur;93,8300;0,0685;93,8160;93,7540;93,9200
glass_blur;87,2393;0,2181;87,1640;87,5360;87,0180
motion_blur;91,6593;0,1271;91,8000;91,4920;91,6860
zoom_blur;92,6200;0,0326;92,6400;92,6460;92,5740
snow;91,1147;0,2240;90,9080;91,0100;91,4260
frost;92,0833;0,2372;91,7480;92,2440;92,2580
fog;93,8813;0,1297;93,8280;93,7560;94,0600
brightness;95,6947;0,0930;95,6240;95,8260;95,6340
contrast;94,1027;0,0329;94,0600;94,1080;94,1400
elastic_transform;90,8293;0,0148;90,8160;90,8500;90,8220
pixelate;88,4607;1,1270;89,5900;86,9220;88,8700
jpeg_compression;83,7827;0,8367;82,9120;83,5240;84,9120
speckle_noise;88,8240;0,1896;88,5580;88,9280;88,9860
gaussian_blur;92,7533;0,0213;92,7260;92,7780;92,7560
spatter;92,4107;0,4048;91,8420;92,6380;92,7520
saturate;94,7880;0,0695;94,7220;94,8840;94,7580
blue_noise;86,2800;0,8443;85,1280;87,1280;86,5840
brownish_noise;78,7707;0,5828;78,0380;79,4640;78,8100
checkerboard_cutout;86,7093;0,1613;86,4960;86,7460;86,8860
circular_motion_blur;92,2507;0,2710;92,4020;92,4800;91,8700
inverse_sparkles;76,2280;0,1833;76,4360;75,9900;76,2580
lines;80,0967;0,4075;80,2060;80,5320;79,5520
pinch_and_twirl;92,7093;0,1617;92,6000;92,9380;92,5900
ripple;85,9207;0,9309;85,9380;84,7720;87,0520
sparkles;87,6520;0,0161;87,6740;87,6360;87,6460
transverse_chromatic_abberation;83,8387;1,0296;84,0120;85,0040;82,5000
Acc_C-all-19;90,8786;0,1303;90,7596;90,8163;91,0599
Acc_C-original-15;90,5278;0,1402;90,4389;90,4188;90,7257
Acc_C-bar-10;85,0456;0,1615;84,8930;85,2690;84,9748
Acc_all-ex-pixelwise-noise-24;89,1427;0,0469;89,0832;89,1471;89,1979
RMSCE_C;0,0457;0,0008;0,0453;0,0452;0,0468
Combined_Noise;89,9067;0,4159;89,4400;90,4500;89,8300
