;config_558_avg;config_558_std;config_558_run_0;config_558_run_1;config_558_run_2
Standard_Acc;96,4867;0,0826;96,3700;96,5500;96,5400
RMSCE;0,0440;0,0014;0,0458;0,0424;0,0437
gaussian_noise;86,8340;0,6218;85,9840;87,4540;87,0640
shot_noise;89,2967;0,5234;88,5640;89,7540;89,5720
impulse_noise;87,3127;1,0498;86,4640;88,7920;86,6820
defocus_blur;94,3680;0,1043;94,3440;94,5060;94,2540
glass_blur;87,8420;0,3935;87,3440;87,8760;88,3060
motion_blur;92,3627;0,3377;91,9620;92,7880;92,3380
zoom_blur;93,4300;0,0216;93,4400;93,4500;93,4000
snow;92,1040;0,1221;91,9800;92,0620;92,2700
frost;93,0853;0,0894;92,9820;93,0740;93,2000
fog;94,4133;0,0337;94,3660;94,4420;94,4320
brightness;95,9813;0,0918;95,8640;95,9920;96,0880
contrast;94,3107;0,0759;94,3100;94,4040;94,2180
elastic_transform;91,6320;0,2093;91,3360;91,7840;91,7760
pixelate;89,6860;0,0864;89,7660;89,7260;89,5660
jpeg_compression;85,7467;0,1502;85,5640;85,7440;85,9320
speckle_noise;89,5480;0,5254;88,8120;90,0040;89,8280
gaussian_blur;93,3260;0,1114;93,2860;93,4780;93,2140
spatter;92,9700;0,2423;92,7200;92,8920;93,2980
saturate;95,1700;0,0748;95,1500;95,0900;95,2700
blue_noise;87,0540;0,7242;86,6960;88,0640;86,4020
brownish_noise;78,0967;0,7744;78,7440;77,0080;78,5380
checkerboard_cutout;88,2613;0,3409;87,9720;88,0720;88,7400
circular_motion_blur;93,0607;0,2256;92,7480;93,2720;93,1620
inverse_sparkles;78,2160;0,3940;77,6800;78,3520;78,6160
lines;81,3820;0,4431;80,8900;81,2920;81,9640
pinch_and_twirl;93,2460;0,1870;93,0180;93,2440;93,4760
ripple;87,7960;0,3497;88,0240;88,0620;87,3020
sparkles;87,7047;0,1043;87,5700;87,7200;87,8240
transverse_chromatic_abberation;84,5160;0,3435;84,0820;84,9220;84,5440
Acc_C-all-19;91,5484;0,2008;91,2757;91,7533;91,6162
Acc_C-original-15;91,2270;0,2088;90,9513;91,4565;91,2732
Acc_C-bar-10;85,9333;0,1369;85,7424;86,0008;86,0568
Acc_all-ex-pixelwise-noise-24;89,9461;0,1132;89,7976;89,9688;90,0720
RMSCE_C;0,0415;0,0001;0,0415;0,0414;0,0417
Combined_Noise;90,3167;0,3831;89,9100;90,8300;90,2100
