;config_298_avg
Standard_Acc;64,3200
RMSCE;0,0393
gaussian_noise;35,3180
shot_noise;38,5480
impulse_noise;35,0360
defocus_blur;39,7820
glass_blur;34,8440
motion_blur;47,2120
zoom_blur;42,1040
snow;46,1400
frost;46,8820
fog;46,7080
brightness;51,0080
contrast;34,7660
elastic_transform;47,7040
pixelate;52,0860
jpeg_compression;51,6620
speckle_noise;32,0420
gaussian_blur;41,7720
spatter;44,6340
saturate;46,7580
blue_noise_sample;45,9380
brownish_noise;50,4900
caustic_refraction;35,3200
checkerboard_cutout;40,6100
cocentric_sine_waves;34,9540
inverse_sparkles;25,4880
perlin_noise;55,3000
plasma_noise;29,2420
single_frequency_greyscale;34,3240
sparkles;56,9180
Acc_C-all-19;42,8951
Acc_C-original-15;43,3200
Acc_C-bar-10;40,8584
Acc_all-ex-pixelwise-noise-24;43,1962
RMSCE_C;0,1148
Combined_Noise;57,6300
