;config_296_avg
Standard_Acc;66,1500
RMSCE;0,0405
gaussian_noise;33,8880
shot_noise;37,8240
impulse_noise;33,8060
defocus_blur;42,1540
glass_blur;36,1040
motion_blur;48,4940
zoom_blur;44,1980
snow;45,6680
frost;46,9100
fog;48,1220
brightness;51,9940
contrast;36,2700
elastic_transform;50,0700
pixelate;53,8200
jpeg_compression;52,6660
speckle_noise;31,8960
gaussian_blur;44,5840
spatter;44,1240
saturate;47,5120
blue_noise_sample;46,6880
brownish_noise;51,0760
caustic_refraction;36,1700
checkerboard_cutout;42,2380
cocentric_sine_waves;33,8220
inverse_sparkles;26,4120
perlin_noise;55,8720
plasma_noise;30,2400
single_frequency_greyscale;32,1800
sparkles;58,9700
Acc_C-all-19;43,6897
Acc_C-original-15;44,1325
Acc_C-bar-10;41,3668
Acc_all-ex-pixelwise-noise-24;44,1529
RMSCE_C;0,1218
Combined_Noise;59,5800
