;config_338_avg;config_338_std;config_338_run_0;config_338_run_1;config_338_run_2
Standard_Acc;59,9700;0,3963;59,4100;60,2700;60,2300
RMSCE;0,0396;0,0020;0,0417;0,0404;0,0369
gaussian_noise;24,1800;0,4319;23,5940;24,3240;24,6220
shot_noise;28,6200;0,5683;27,8560;28,7860;29,2180
impulse_noise;27,3280;0,4068;26,7820;27,4440;27,7580
defocus_blur;43,2440;0,7352;42,4120;44,2000;43,1200
glass_blur;26,0807;0,7307;25,3840;27,0900;25,7680
motion_blur;48,5600;0,9815;47,3640;49,7680;48,5480
zoom_blur;43,3360;0,6797;42,4500;44,1020;43,4560
snow;40,1433;0,2729;39,8600;40,0580;40,5120
frost;41,2780;0,7410;40,2520;41,9760;41,6060
fog;49,7133;0,5280;48,9800;50,2020;49,9580
brightness;57,0720;0,6874;56,1500;57,8000;57,2660
contrast;35,4047;0,2661;35,1440;35,7700;35,3000
elastic_transform;49,4833;0,3631;49,1680;49,9920;49,2900
pixelate;51,8080;1,2215;50,1040;52,4140;52,9060
jpeg_compression;47,7193;0,5266;47,0740;48,3640;47,7200
speckle_noise;22,4133;0,7650;21,3720;22,6800;23,1880
gaussian_blur;45,7107;0,6721;44,8440;46,4820;45,8060
spatter;45,3147;0,2375;45,0500;45,6260;45,2680
saturate;53,0733;0,3003;52,9540;52,7800;53,4860
blue_noise_sample;43,2347;0,3090;43,3660;42,8080;43,5300
brownish_noise;31,5387;1,4463;29,8220;31,4340;33,3600
caustic_refraction;28,1287;0,1454;28,2480;28,2140;27,9240
checkerboard_cutout;37,5120;0,5522;37,8700;37,9340;36,7320
cocentric_sine_waves;22,5320;0,5617;22,9100;21,7380;22,9480
inverse_sparkles;15,6480;0,2094;15,9440;15,5060;15,4940
perlin_noise;47,6607;0,3875;47,2680;48,1880;47,5260
plasma_noise;15,6447;0,9479;14,3740;15,9100;16,6500
single_frequency_greyscale;23,6900;0,6617;24,4840;22,8640;23,7220
sparkles;46,7947;0,0462;46,7640;46,8600;46,7600
Acc_C-all-19;41,0780;0,5209;40,3576;41,5715;41,3051
Acc_C-original-15;40,9314;0,5559;40,1716;41,4860;41,1365
Acc_C-bar-10;31,2384;0,1608;31,1050;31,1456;31,4646
Acc_all-ex-pixelwise-noise-24;39,4621;0,3668;38,9531;39,8030;39,6302
RMSCE_C;0,1440;0,0035;0,1476;0,1452;0,1393
Combined_Noise;55,0433;0,7057;54,5900;56,0400;54,5000
