;config_172_avg
Standard_Acc;52,9800
RMSCE;0,0919
gaussian_noise;36,2040
shot_noise;37,1040
impulse_noise;32,7420
defocus_blur;36,8660
glass_blur;33,9560
motion_blur;42,2320
zoom_blur;38,0540
snow;40,4040
frost;41,5500
fog;41,0960
brightness;44,4340
contrast;25,8880
elastic_transform;42,5480
pixelate;45,2500
jpeg_compression;44,4220
speckle_noise;30,3020
gaussian_blur;38,0980
spatter;39,1200
saturate;41,8920
blue_noise_sample;36,8800
brownish_noise;36,2800
caustic_refraction;32,6720
checkerboard_cutout;33,3680
cocentric_sine_waves;33,4640
inverse_sparkles;20,5240
perlin_noise;47,5120
plasma_noise;21,5380
single_frequency_greyscale;31,4380
sparkles;45,9300
Acc_C-all-19;38,5348
Acc_C-original-15;38,8500
Acc_C-bar-10;33,9606
Acc_all-ex-pixelwise-noise-24;37,4390
RMSCE_C;0,1518
Combined_Noise;46,9300
