;config_325_avg;config_325_std;config_325_run_0;config_325_run_1;config_325_run_2
Standard_Acc;67,5133;0,2037;67,6100;67,2300;67,7000
RMSCE;0,0577;0,0082;0,0525;0,0692;0,0513
gaussian_noise;31,6660;2,1036;31,9200;34,1060;28,9720
shot_noise;36,2087;1,7590;37,0640;37,8040;33,7580
impulse_noise;33,8560;1,6760;33,3700;36,1080;32,0900
defocus_blur;40,9220;1,9754;42,6860;38,1640;41,9160
glass_blur;35,7487;1,3986;36,7980;33,7720;36,6760
motion_blur;48,0980;1,6504;49,2740;45,7640;49,2560
zoom_blur;44,6107;1,6144;45,9360;42,3380;45,5580
snow;44,3320;0,1985;44,6120;44,1740;44,2100
frost;46,5820;0,2686;46,9100;46,2520;46,5840
fog;47,7167;0,7163;48,0480;46,7220;48,3800
brightness;52,4680;0,3352;52,2700;52,1940;52,9400
contrast;36,5287;1,0379;35,2680;36,5080;37,8100
elastic_transform;50,1760;0,6663;50,7620;49,2440;50,5220
pixelate;53,7473;0,1624;53,5320;53,9240;53,7860
jpeg_compression;53,2787;0,6727;54,0100;52,3860;53,4400
speckle_noise;30,5820;1,8248;31,8220;31,9220;28,0020
gaussian_blur;43,6833;1,9293;45,3980;40,9880;44,6640
spatter;43,7533;0,2829;43,4180;44,1100;43,7320
saturate;47,9813;0,4743;47,8460;47,4800;48,6180
blue_noise_sample;47,6873;0,7161;48,7000;47,1720;47,1900
brownish_noise;50,4653;0,5972;49,6540;50,6680;51,0740
caustic_refraction;33,0460;0,6398;33,8640;32,3020;32,9720
checkerboard_cutout;43,2953;0,5424;42,5680;43,8700;43,4480
cocentric_sine_waves;29,5360;1,0935;31,0360;29,1120;28,4600
inverse_sparkles;26,6687;0,8078;27,7300;25,7720;26,5040
perlin_noise;54,9167;0,3358;55,1400;54,4420;55,1680
plasma_noise;28,4147;0,3630;27,9220;28,5360;28,7860
single_frequency_greyscale;26,7793;0,6726;27,7000;26,1120;26,5260
sparkles;59,7313;0,1875;59,4920;59,9500;59,7520
Acc_C-all-19;43,2600;0,3669;43,7339;42,8400;43,2060
Acc_C-original-15;43,7293;0,3538;44,1640;43,2973;43,7265
Acc_C-bar-10;40,0541;0,2442;40,3806;39,7936;39,9880
Acc_all-ex-pixelwise-noise-24;43,4367;0,5217;43,8281;42,6993;43,7826
RMSCE_C;0,1586;0,0068;0,1506;0,1672;0,1581
Combined_Noise;62,4633;0,3967;62,6600;61,9100;62,8200
