;config_313_avg
Standard_Acc;58,0000
RMSCE;0,0541
gaussian_noise;17,5580
shot_noise;22,0100
impulse_noise;21,3960
defocus_blur;35,8520
glass_blur;19,1640
motion_blur;43,0560
zoom_blur;38,6700
snow;34,5640
frost;35,3700
fog;46,5340
brightness;55,0940
contrast;31,6660
elastic_transform;45,4920
pixelate;48,4040
jpeg_compression;43,4980
speckle_noise;16,8280
gaussian_blur;37,5540
spatter;42,2580
saturate;51,1380
blue_noise_sample;37,8300
brownish_noise;27,8480
caustic_refraction;23,5820
checkerboard_cutout;34,7840
cocentric_sine_waves;18,6920
inverse_sparkles;14,2180
perlin_noise;43,0940
plasma_noise;11,5020
single_frequency_greyscale;19,0500
sparkles;44,1940
Acc_C-all-19;36,1108
Acc_C-original-15;35,8885
Acc_C-bar-10;27,4794
Acc_all-ex-pixelwise-noise-24;35,2199
RMSCE_C;0,1964
Combined_Noise;48,4800
