;config_299_avg
Standard_Acc;62,6900
RMSCE;0,0306
gaussian_noise;32,9760
shot_noise;36,6560
impulse_noise;32,2160
defocus_blur;39,0860
glass_blur;35,2160
motion_blur;46,2040
zoom_blur;41,4920
snow;44,5860
frost;45,3480
fog;45,6280
brightness;50,2500
contrast;33,2700
elastic_transform;46,4340
pixelate;50,9080
jpeg_compression;50,3060
speckle_noise;29,8940
gaussian_blur;40,6620
spatter;43,6740
saturate;45,7360
blue_noise_sample;41,9400
brownish_noise;47,5580
caustic_refraction;34,8300
checkerboard_cutout;40,5260
cocentric_sine_waves;34,4140
inverse_sparkles;24,6400
perlin_noise;53,9680
plasma_noise;27,0320
single_frequency_greyscale;35,4840
sparkles;55,2360
Acc_C-all-19;41,6075
Acc_C-original-15;42,0384
Acc_C-bar-10;39,5628
Acc_all-ex-pixelwise-noise-24;42,1870
RMSCE_C;0,1077
Combined_Noise;55,3200
