;config_572_avg
Standard_Acc;97,7963
RMSCE;0,0322
gaussian_noise;27,3704
shot_noise;32,4815
impulse_noise;31,6852
defocus_blur;79,2222
glass_blur;59,7407
motion_blur;92,2407
zoom_blur;82,2593
snow;59,7593
frost;58,1667
fog;77,0000
brightness;93,2778
contrast;63,1667
elastic_transform;96,7222
pixelate;97,5185
jpeg_compression;76,0185
speckle_noise;23,3889
gaussian_blur;65,1111
spatter;54,8889
saturate;80,7407
blue_noise;58,5000
brownish_noise;37,5370
checkerboard_cutout;62,0741
circular_motion_blur;93,5000
inverse_sparkles;41,1852
lines;48,9444
pinch_and_twirl;95,9630
ripple;89,3704
sparkles;66,0370
transverse_chromatic_abberation;59,1111
Acc_C-all-19;65,8294
Acc_C-original-15;68,4420
Acc_C-bar-10;65,2222
Acc_all-ex-pixelwise-noise-24;72,0648
RMSCE_C;0,2301
Combined_Noise;79,0741
