;config_578_avg
Standard_Acc;98,3519
RMSCE;0,0399
gaussian_noise;28,3889
shot_noise;35,8148
impulse_noise;35,2963
defocus_blur;71,8333
glass_blur;53,5741
motion_blur;86,7963
zoom_blur;76,7963
snow;44,7222
frost;46,9815
fog;75,5741
brightness;92,2037
contrast;64,0741
elastic_transform;95,4815
pixelate;97,2593
jpeg_compression;75,1852
speckle_noise;27,7593
gaussian_blur;58,8519
spatter;53,0370
saturate;79,5741
blue_noise;49,0556
brownish_noise;27,1296
checkerboard_cutout;68,1852
circular_motion_blur;91,6296
inverse_sparkles;34,1852
lines;51,5185
pinch_and_twirl;97,1296
ripple;86,0926
sparkles;63,0185
transverse_chromatic_abberation;58,3148
Acc_C-all-19;63,1160
Acc_C-original-15;65,3321
Acc_C-bar-10;62,6259
Acc_all-ex-pixelwise-noise-24;68,7145
RMSCE_C;0,2742
Combined_Noise;81,4259
