;config_575_avg
Standard_Acc;98,2963
RMSCE;0,0316
gaussian_noise;65,8889
shot_noise;71,3519
impulse_noise;79,2222
defocus_blur;72,2222
glass_blur;59,0185
motion_blur;90,6111
zoom_blur;76,0000
snow;57,4630
frost;55,4815
fog;72,1296
brightness;92,1667
contrast;60,6296
elastic_transform;96,2037
pixelate;97,6852
jpeg_compression;73,2963
speckle_noise;68,3519
gaussian_blur;63,5926
spatter;76,3148
saturate;81,0926
blue_noise;83,0185
brownish_noise;41,4259
checkerboard_cutout;65,1111
circular_motion_blur;91,9444
inverse_sparkles;39,5000
lines;52,5556
pinch_and_twirl;97,5000
ripple;89,5000
sparkles;67,4074
transverse_chromatic_abberation;55,6111
Acc_C-all-19;74,1433
Acc_C-original-15;74,6247
Acc_C-bar-10;68,3574
Acc_all-ex-pixelwise-noise-24;71,8526
RMSCE_C;0,1520
Combined_Noise;94,6667
