;config_249_avg
Standard_Acc;73,1600
RMSCE;0,0360
gaussian_noise;27,9660
shot_noise;33,2860
impulse_noise;31,5080
defocus_blur;29,2840
glass_blur;23,9900
motion_blur;37,2520
zoom_blur;33,4680
snow;42,7740
frost;46,6580
fog;44,3800
brightness;56,3700
contrast;21,2860
elastic_transform;43,6780
pixelate;56,2580
jpeg_compression;50,9740
speckle_noise;26,3260
gaussian_blur;30,4640
spatter;46,8080
saturate;50,3240
blue_noise_sample;47,8740
brownish_noise;54,9080
caustic_refraction;32,8240
checkerboard_cutout;46,3060
cocentric_sine_waves;27,7140
inverse_sparkles;29,7480
perlin_noise;57,9360
plasma_noise;28,9220
single_frequency_greyscale;25,1820
sparkles;64,9900
Acc_C-all-19;38,5818
Acc_C-original-15;38,6088
Acc_C-bar-10;41,6404
Acc_all-ex-pixelwise-noise-24;40,9374
RMSCE_C;0,1701
Combined_Noise;55,4600
