;config_146_avg;config_146_std;config_146_run_0;config_146_run_1;config_146_run_2;config_146_run_3;config_146_run_4
Standard_Acc;72,1330;0,3775;71,8400;71,7050;71,9500;72,6100;72,5600
RMSCE;0,0223;0,0044;0,0255;0,0232;0,0267;0,0142;0,0218
gaussian_noise;33,0800;2,5608;32,0000;36,9000;35,1000;31,6000;29,8000
shot_noise;37,0400;3,2451;34,0000;40,9000;39,6000;38,2000;32,5000
impulse_noise;23,5600;1,2339;24,6000;25,1000;23,0000;23,5000;21,6000
defocus_blur;40,4400;1,6728;41,5000;37,9000;41,7000;39,0000;42,1000
glass_blur;22,4000;1,2116;20,9000;22,4000;22,0000;22,1000;24,6000
motion_blur;51,3600;1,8095;52,0000;48,6000;54,2000;50,9000;51,1000
zoom_blur;36,6400;1,1092;35,9000;35,7000;35,7000;38,4000;37,5000
snow;57,9800;2,4334;57,9000;57,4000;53,8000;60,6000;60,2000
frost;60,1200;1,2640;62,4000;58,7000;60,4000;59,7000;59,4000
fog;60,1600;1,6390;58,8000;58,3000;59,9000;60,9000;62,9000
brightness;59,0600;2,0046;56,4000;57,2000;61,9000;60,1000;59,7000
contrast;35,2000;1,3565;36,9000;34,3000;34,6000;33,5000;36,7000
elastic_transform;54,5400;1,6107;56,4000;52,0000;54,9000;53,5000;55,9000
pixelate;61,7200;1,2090;63,4000;60,6000;62,4000;60,1000;62,1000
jpeg_compression;64,3400;1,3124;66,0000;65,1000;62,1000;63,9000;64,6000
speckle_noise;27,4000;3,2317;22,6000;29,9000;31,5000;28,0000;25,0000
gaussian_blur;28,8600;0,9135;27,9000;30,0000;28,0000;28,5000;29,9000
spatter;58,0200;0,8704;58,3000;56,5000;58,6000;57,7000;59,0000
saturate;55,5600;1,0707;55,0000;57,0000;56,7000;54,6000;54,5000
blue_noise_sample;46,2000;2,7993;43,2000;45,0000;49,4000;43,7000;49,7000
brownish_noise;52,9200;1,8082;51,8000;53,9000;49,9000;54,4000;54,6000
caustic_refraction;37,2400;1,4051;39,5000;35,5000;36,7000;36,4000;38,1000
checkerboard_cutout;39,9600;1,1482;39,1000;39,6000;41,3000;38,5000;41,3000
cocentric_sine_waves;32,2200;2,1535;31,2000;29,3000;32,5000;32,2000;35,9000
inverse_sparkles;26,2200;0,9196;26,7000;25,0000;26,0000;25,7000;27,7000
perlin_noise;60,4400;1,6693;59,6000;57,7000;61,0000;61,3000;62,6000
plasma_noise;19,8000;0,7483;18,8000;19,4000;20,2000;21,0000;19,6000
single_frequency_greyscale;28,0800;1,3106;28,7000;26,4000;28,8000;26,7000;29,8000
sparkles;63,6400;1,4786;65,8000;62,0000;63,2000;64,9000;62,3000
Acc_C-all-19;45,6568;0,2513;45,4158;45,5000;46,1105;45,5158;45,7421
Acc_C-original-15;46,5093;0,2501;46,6067;46,0733;46,7533;46,4000;46,7133
Acc_C-bar-10;40,6720;0,8973;40,4400;39,3800;40,9000;40,4800;42,1600
Acc_all-ex-pixelwise-noise-24;46,1217;0,6855;46,2875;45,0208;46,1042;46,0250;47,1708
RMSCE_C;0,1397;0,0053;0,1439;0,1478;0,1368;0,1334;0,1364
Combined_Noise;53,7950;0,8681;52,7850;53,9400;54,5700;54,8700;52,8100
