;config_166_avg
Standard_Acc;64,2900
RMSCE;0,0616
gaussian_noise;30,4220
shot_noise;33,3480
impulse_noise;32,4940
defocus_blur;28,2860
glass_blur;26,6260
motion_blur;35,7440
zoom_blur;31,7080
snow;36,8880
frost;40,3320
fog;37,2900
brightness;44,4940
contrast;20,2000
elastic_transform;38,5520
pixelate;48,7940
jpeg_compression;44,6840
speckle_noise;27,7600
gaussian_blur;29,7780
spatter;38,5340
saturate;39,7640
blue_noise_sample;44,1640
brownish_noise;45,6220
caustic_refraction;29,3140
checkerboard_cutout;39,0160
cocentric_sine_waves;30,8280
inverse_sparkles;26,2640
perlin_noise;52,3380
plasma_noise;23,9740
single_frequency_greyscale;26,3080
sparkles;56,0460
Acc_C-all-19;35,0367
Acc_C-original-15;35,3241
Acc_C-bar-10;37,3874
Acc_all-ex-pixelwise-noise-24;36,3077
RMSCE_C;0,1965
Combined_Noise;52,8900
