;config_393_avg;config_393_std;config_393_run_0;config_393_run_1;config_393_run_2;config_393_run_3;config_393_run_4
Standard_Acc;71,1030;0,3334;70,8300;70,8100;71,5450;71,4750;70,8550
RMSCE;0,0247;0,0046;0,0270;0,0260;0,0279;0,0156;0,0272
gaussian_noise;50,8400;1,3851;52,1000;49,3000;51,9000;49,0000;51,9000
shot_noise;54,6800;1,0458;53,3000;56,0000;55,6000;54,8000;53,7000
impulse_noise;52,0000;2,2199;52,1000;54,2000;49,5000;49,5000;54,7000
defocus_blur;54,4600;1,1465;52,7000;55,3000;55,2000;55,6000;53,5000
glass_blur;32,9600;2,1914;31,9000;31,0000;37,1000;31,6000;33,2000
motion_blur;57,3800;1,9498;57,7000;57,7000;60,5000;56,5000;54,5000
zoom_blur;48,7600;0,4841;47,8000;49,1000;49,0000;48,9000;49,0000
snow;61,5000;2,6631;59,7000;59,1000;59,4000;63,6000;65,7000
frost;62,2600;2,3295;63,9000;59,7000;65,7000;62,2000;59,8000
fog;64,2000;1,1983;62,5000;63,2000;64,4000;65,2000;65,7000
brightness;64,8200;1,3497;64,7000;63,2000;66,5000;63,5000;66,2000
contrast;53,8000;0,4604;53,8000;53,4000;53,3000;54,6000;53,9000
elastic_transform;59,6600;1,7316;62,1000;60,2000;58,0000;57,4000;60,6000
pixelate;63,5400;2,1740;67,1000;60,9000;64,3000;63,7000;61,7000
jpeg_compression;64,3600;1,6954;65,5000;65,6000;62,4000;66,1000;62,2000
speckle_noise;51,1000;1,6709;51,1000;53,6000;49,2000;49,4000;52,2000
gaussian_blur;49,3400;1,9734;46,6000;52,1000;48,8000;51,0000;48,2000
spatter;58,5200;1,4593;59,9000;56,1000;60,1000;58,6000;57,9000
saturate;59,3600;0,5953;59,3000;60,5000;59,2000;59,0000;58,8000
blue_noise_sample;51,7600;1,5121;49,7000;50,8000;53,5000;51,3000;53,5000
brownish_noise;54,4200;1,5197;53,5000;55,4000;54,2000;56,7000;52,3000
caustic_refraction;37,1600;2,3380;35,7000;34,4000;39,2000;40,6000;35,9000
checkerboard_cutout;46,2400;1,1960;44,8000;48,2000;45,2000;46,6000;46,4000
cocentric_sine_waves;31,1200;2,2912;29,5000;29,7000;35,6000;29,9000;30,9000
inverse_sparkles;26,6600;0,6888;27,7000;26,5000;26,5000;25,6000;27,0000
perlin_noise;60,6000;1,6840;59,5000;61,0000;63,7000;59,0000;59,8000
plasma_noise;30,4000;2,3478;28,8000;29,7000;32,7000;33,5000;27,3000
single_frequency_greyscale;29,1600;1,2643;28,1000;28,2000;30,9000;30,5000;28,1000
sparkles;62,7400;1,4623;63,2000;61,1000;63,4000;64,9000;61,1000
Acc_C-all-19;55,9758;0,1904;55,9895;55,8000;56,3211;55,8000;55,9684
Acc_C-original-15;56,3480;0,3322;56,4600;55,8600;56,8533;56,1467;56,4200
Acc_C-bar-10;43,0260;0,9697;42,0500;42,5000;44,4900;43,8600;42,2300
Acc_all-ex-pixelwise-noise-24;51,3925;0,5888;51,0833;50,8875;52,3042;51,8667;50,8208
RMSCE_C;0,1028;0,0038;0,1095;0,1031;0,1013;0,0977;0,1023
Combined_Noise;65,2420;0,2488;65,2150;64,9950;65,5600;65,4900;64,9500
