;config_411_avg;config_411_std;config_411_run_0;config_411_run_1;config_411_run_2;config_411_run_3;config_411_run_4
Standard_Acc;70,9230;0,3664;70,6900;70,6750;71,2050;70,5450;71,5000
RMSCE;0,0193;0,0016;0,0198;0,0198;0,0203;0,0162;0,0203
gaussian_noise;50,7200;3,5673;55,8000;46,7000;46,6000;52,2000;52,3000
shot_noise;54,7000;1,5659;56,3000;53,4000;52,3000;55,6000;55,9000
impulse_noise;52,7600;1,4596;51,7000;53,7000;50,4000;54,0000;54,0000
defocus_blur;55,8400;1,1569;56,4000;54,4000;57,1000;54,5000;56,8000
glass_blur;32,9200;1,5804;34,5000;30,7000;34,9000;31,9000;32,6000
motion_blur;57,8400;1,4080;59,2000;57,3000;59,7000;57,1000;55,9000
zoom_blur;46,7600;0,7392;46,6000;45,6000;46,7000;47,0000;47,9000
snow;61,5000;2,1166;61,4000;58,8000;59,7000;63,0000;64,6000
frost;61,7800;1,3467;62,9000;60,1000;63,4000;62,2000;60,3000
fog;63,6000;1,4967;61,6000;62,0000;65,2000;64,8000;64,4000
brightness;63,7800;2,0173;63,5000;61,3000;64,9000;62,2000;67,0000
contrast;54,3800;2,0769;52,3000;51,9000;54,3000;56,3000;57,1000
elastic_transform;59,5800;2,3760;62,2000;59,5000;58,1000;56,0000;62,1000
pixelate;62,9600;1,5239;65,6000;60,9000;62,5000;63,2000;62,6000
jpeg_compression;64,1400;1,3455;66,5000;64,4000;62,4000;63,7000;63,7000
speckle_noise;51,1000;1,4629;51,3000;51,1000;48,4000;52,0000;52,7000
gaussian_blur;48,9600;2,3070;45,0000;49,2000;50,5000;48,3000;51,8000
spatter;59,0400;1,1943;59,2000;57,8000;61,2000;58,1000;58,9000
saturate;59,4600;1,2659;57,5000;60,9000;58,6000;59,7000;60,6000
blue_noise_sample;53,0400;1,7716;51,1000;53,2000;56,3000;52,0000;52,6000
brownish_noise;54,5600;0,7365;53,5000;55,6000;55,1000;54,5000;54,1000
caustic_refraction;38,3800;2,0904;36,8000;35,1000;40,0000;39,4000;40,6000
checkerboard_cutout;45,6400;2,2966;45,3000;49,2000;46,8000;44,6000;42,3000
cocentric_sine_waves;32,3600;1,9376;31,9000;31,0000;36,0000;32,4000;30,5000
inverse_sparkles;26,3800;2,0547;28,3000;28,2000;25,5000;22,8000;27,1000
perlin_noise;60,8200;1,6290;60,7000;58,6000;63,1000;59,6000;62,1000
plasma_noise;30,6200;0,9368;29,7000;30,1000;31,9000;31,6000;29,8000
single_frequency_greyscale;30,8600;1,1569;29,3000;31,4000;32,7000;30,8000;30,1000
sparkles;63,1400;1,2753;63,7000;60,7000;64,0000;64,2000;63,1000
Acc_C-all-19;55,8853;0,7247;56,2895;54,7211;55,6263;55,8842;56,9053
Acc_C-original-15;56,2173;0,8966;57,1000;54,7133;55,8800;56,2467;57,1467
Acc_C-bar-10;43,5800;0,7853;43,0300;43,3100;45,1400;43,1900;43,2300
Acc_all-ex-pixelwise-noise-24;51,4708;0,5766;51,4000;50,6125;52,2625;51,1625;51,9167
RMSCE_C;0,0976;0,0030;0,0978;0,1025;0,0967;0,0930;0,0980
Combined_Noise;64,9400;0,1797;64,7500;64,7050;65,1250;65,0000;65,1200
