;config_186_avg
Standard_Acc;72,9300
RMSCE;0,0313
gaussian_noise;28,5340
shot_noise;34,7920
impulse_noise;31,4760
defocus_blur;25,6400
glass_blur;24,1300
motion_blur;36,0740
zoom_blur;29,1780
snow;44,0600
frost;46,5520
fog;44,2760
brightness;56,0800
contrast;19,0360
elastic_transform;42,2640
pixelate;57,9000
jpeg_compression;50,7180
speckle_noise;27,6820
gaussian_blur;26,7840
spatter;48,5420
saturate;49,8340
blue_noise_sample;49,8960
brownish_noise;53,9980
caustic_refraction;33,8820
checkerboard_cutout;45,6160
cocentric_sine_waves;32,1260
inverse_sparkles;29,1520
perlin_noise;57,9780
plasma_noise;27,3060
single_frequency_greyscale;28,0720
sparkles;64,5260
Acc_C-all-19;38,0817
Acc_C-original-15;38,0473
Acc_C-bar-10;42,2552
Acc_all-ex-pixelwise-noise-24;40,5718
RMSCE_C;0,1652
Combined_Noise;53,5500
