;config_208_avg
Standard_Acc;48,5600
RMSCE;0,0902
gaussian_noise;13,3780
shot_noise;17,8660
impulse_noise;16,5840
defocus_blur;16,8160
glass_blur;10,7200
motion_blur;23,1560
zoom_blur;18,4680
snow;26,3840
frost;28,9820
fog;29,6000
brightness;41,7160
contrast;12,5340
elastic_transform;29,4040
pixelate;25,2920
jpeg_compression;27,8040
speckle_noise;13,4820
gaussian_blur;16,8900
spatter;34,4780
saturate;38,6300
blue_noise_sample;29,8200
brownish_noise;26,8980
caustic_refraction;21,1240
checkerboard_cutout;23,4280
cocentric_sine_waves;15,6260
inverse_sparkles;13,9100
perlin_noise;36,9220
plasma_noise;11,5040
single_frequency_greyscale;12,5000
sparkles;36,0080
Acc_C-all-19;23,2728
Acc_C-original-15;22,5803
Acc_C-bar-10;22,7740
Acc_all-ex-pixelwise-noise-24;24,1164
RMSCE_C;0,2594
Combined_Noise;34,7100
