;config_519_avg;config_519_std;config_519_run_0;config_519_run_1;config_519_run_2
Standard_Acc;68,1000;0,3303;68,2600;68,4000;67,6400
RMSCE;0,0323;0,0007;0,0330;0,0313;0,0326
gaussian_noise;22,4140;0,4324;22,8760;21,8360;22,5300
shot_noise;26,3567;0,4173;26,9380;26,1540;25,9780
impulse_noise;20,8447;0,6927;21,6540;19,9620;20,9180
defocus_blur;22,4273;0,5486;22,7120;22,9100;21,6600
glass_blur;20,3333;0,6201;20,9820;20,5200;19,4980
motion_blur;29,6753;0,3107;30,0280;29,7260;29,2720
zoom_blur;26,0800;0,4500;26,5000;26,2840;25,4560
snow;33,6200;0,8265;34,0760;34,3240;32,4600
frost;37,6233;0,2970;37,9400;37,7040;37,2260
fog;32,2560;0,5350;33,0100;31,8240;31,9340
brightness;41,8227;0,0802;41,7100;41,8680;41,8900
contrast;13,5987;0,4401;14,0640;13,0080;13,7240
elastic_transform;34,8793;0,3217;34,6660;35,3340;34,6380
pixelate;45,6653;0,4326;45,3280;45,3920;46,2760
jpeg_compression;42,0747;0,1769;42,2420;42,1520;41,8300
speckle_noise;18,7700;0,4102;19,1560;18,9520;18,2020
gaussian_blur;23,4960;0,6165;23,8020;24,0500;22,6360
spatter;33,9867;1,1305;35,2460;32,5040;34,2100
saturate;34,8907;0,3531;34,8680;34,4700;35,3340
blue_noise_sample;35,1753;0,4360;35,6900;34,6240;35,2120
brownish_noise;49,2360;0,2044;49,5160;49,0340;49,1580
caustic_refraction;29,7553;0,9737;30,7960;30,0160;28,4540
checkerboard_cutout;45,9693;0,5977;45,2080;46,0320;46,6680
cocentric_sine_waves;26,3347;1,5678;27,1340;27,7260;24,1440
inverse_sparkles;30,9313;0,7036;31,5440;31,3040;29,9460
perlin_noise;51,9360;0,6248;52,2740;52,4740;51,0600
plasma_noise;26,4307;0,5790;26,9100;25,6160;26,7660
single_frequency_greyscale;21,2673;0,8261;21,9840;21,7080;20,1100
sparkles;60,2140;0,3086;60,6120;60,1700;59,8600
Acc_C-all-19;29,5166;0,2694;29,8841;29,4197;29,2459
Acc_C-original-15;29,9781;0,2588;30,3151;29,9332;29,6860
Acc_C-bar-10;37,7250;0,4325;38,1668;37,8704;37,1378
Acc_all-ex-pixelwise-noise-24;33,9377;0,3258;34,2980;34,0063;33,5087
RMSCE_C;0,2044;0,0041;0,2009;0,2021;0,2102
Combined_Noise;57,2667;0,5619;57,1900;57,9900;56,6200
