;config_84_avg;config_84_std;config_84_run_0;config_84_run_1;config_84_run_2
Standard_Acc;72,1833;0,2858;72,5300;71,8300;72,1900
RMSCE;0,0232;0,0007;0,0223;0,0239;0,0235
gaussian_noise;28,6167;1,1026;29,3560;27,0580;29,4360
shot_noise;33,7867;0,9526;34,6920;32,4700;34,1980
impulse_noise;37,3640;1,6690;38,7620;35,0180;38,3120
defocus_blur;40,5487;1,6772;42,4440;40,8360;38,3660
glass_blur;30,6827;1,0704;32,0600;30,5380;29,4500
motion_blur;49,3553;0,5661;49,5280;49,9460;48,5920
zoom_blur;47,9927;1,1346;49,5120;47,6800;46,7860
snow;42,5187;1,0547;43,9020;41,3440;42,3100
frost;47,1720;0,9012;48,2200;46,0200;47,2760
fog;52,1373;0,3705;52,4220;51,6140;52,3760
brightness;59,7393;0,4127;59,1560;60,0160;60,0460
contrast;36,0553;0,6305;35,9420;35,3460;36,8780
elastic_transform;54,4467;0,2143;54,7000;54,4640;54,1760
pixelate;48,8787;0,3334;48,5180;49,3220;48,7960
jpeg_compression;56,6440;0,4707;57,3060;56,3740;56,2520
speckle_noise;28,0187;0,9302;28,6340;26,7040;28,7180
gaussian_blur;43,3393;2,2816;45,6080;44,1920;40,2180
spatter;52,3733;0,1214;52,4960;52,2080;52,4160
saturate;53,6173;0,1773;53,8500;53,5820;53,4200
blue_noise_sample;59,3813;1,0261;60,7600;59,0840;58,3000
brownish_noise;53,2333;0,1740;53,4580;53,0340;53,2080
caustic_refraction;32,6380;0,5552;32,9000;33,1480;31,8660
checkerboard_cutout;45,4927;0,4421;45,8900;45,7120;44,8760
cocentric_sine_waves;26,3707;1,5583;28,5520;25,0080;25,5520
inverse_sparkles;26,2413;0,9258;27,5260;25,3800;25,8180
perlin_noise;56,1167;0,8109;57,2320;55,3280;55,7900
plasma_noise;27,1713;0,5594;27,9620;26,7980;26,7540
single_frequency_greyscale;23,2313;1,2015;24,8260;21,9260;22,9420
sparkles;62,9687;0,6868;63,8420;62,9000;62,1640
Acc_C-all-19;44,3835;0,5192;45,1109;43,9333;44,1064
Acc_C-original-15;44,3959;0,5185;45,1013;43,8697;44,2167
Acc_C-bar-10;41,2845;0,7156;42,2948;40,8318;40,7270
Acc_all-ex-pixelwise-noise-24;44,5402;0,5670;45,3272;44,2798;44,0137
RMSCE_C;0,1422;0,0048;0,1354;0,1463;0,1448
Combined_Noise;70,3533;0,2389;70,6900;70,2100;70,1600
