;config_254_avg
Standard_Acc;72,8200
RMSCE;0,0313
gaussian_noise;31,3580
shot_noise;36,2100
impulse_noise;34,0940
defocus_blur;27,3880
glass_blur;24,3160
motion_blur;37,7540
zoom_blur;31,1600
snow;45,1240
frost;48,4220
fog;46,1020
brightness;56,6020
contrast;21,4580
elastic_transform;43,1740
pixelate;57,3920
jpeg_compression;52,0480
speckle_noise;28,4140
gaussian_blur;28,4880
spatter;49,3740
saturate;50,9060
blue_noise_sample;51,5240
brownish_noise;54,4140
caustic_refraction;34,1440
checkerboard_cutout;45,7660
cocentric_sine_waves;32,4100
inverse_sparkles;28,5480
perlin_noise;60,0980
plasma_noise;29,4860
single_frequency_greyscale;29,6600
sparkles;64,9400
Acc_C-all-19;39,4623
Acc_C-original-15;39,5068
Acc_C-bar-10;43,0990
Acc_all-ex-pixelwise-noise-24;41,6322
RMSCE_C;0,1529
Combined_Noise;55,7500
