;config_583_avg
Standard_Acc;97,4347
RMSCE;0,0539
gaussian_noise;77,7910
shot_noise;91,2510
impulse_noise;77,9335
defocus_blur;96,7300
glass_blur;89,6595
motion_blur;95,7720
zoom_blur;97,0388
snow;79,8179
frost;80,5146
fog;79,9287
brightness;95,7957
contrast;88,7569
elastic_transform;95,0040
pixelate;96,7696
jpeg_compression;88,7728
speckle_noise;94,2280
gaussian_blur;95,7720
spatter;88,9865
saturate;84,5051
blue_noise;80,8393
brownish_noise;45,2257
checkerboard_cutout;72,9375
circular_motion_blur;97,4822
inverse_sparkles;60,6255
lines;73,7846
pinch_and_twirl;94,6873
ripple;94,6952
sparkles;72,4466
transverse_chromatic_abberation;89,1291
Acc_C-all-19;89,2120
Acc_C-original-15;88,7691
Acc_C-bar-10;78,1853
Acc_all-ex-pixelwise-noise-24;85,6182
RMSCE_C;0,0772
Combined_Noise;84,7506
