;config_8_avg
Standard_Acc;81,8900
RMSCE;0,0131
gaussian_noise;63,3160
shot_noise;66,8520
impulse_noise;68,5000
defocus_blur;77,0320
glass_blur;65,0840
motion_blur;73,0100
zoom_blur;74,6220
snow;73,2440
frost;73,3320
fog;75,8660
brightness;80,5160
contrast;76,5800
elastic_transform;72,9940
pixelate;71,0920
jpeg_compression;62,8620
speckle_noise;67,2280
gaussian_blur;74,6460
spatter;75,5420
saturate;75,9980
blue_noise;68,2960
brownish_noise;43,5500
checkerboard_cutout;69,2660
circular_motion_blur;75,8980
inverse_sparkles;46,9300
lines;57,5360
pinch_and_twirl;76,5240
ripple;67,9120
sparkles;69,2980
transverse_chromatic_abberation;52,0100
Acc_C-all-19;72,0166
Acc_C-original-15;71,6601
Acc_C-bar-10;62,7220
Acc_all-ex-pixelwise-noise-24;69,2227
RMSCE_C;0,0374
Combined_Noise;71,8100
