;config_6_avg
Standard_Acc;82,4200
RMSCE;0,0174
gaussian_noise;61,8020
shot_noise;65,7460
impulse_noise;68,7620
defocus_blur;78,4520
glass_blur;64,6960
motion_blur;72,6720
zoom_blur;75,8420
snow;72,7880
frost;72,1940
fog;75,4880
brightness;81,1620
contrast;77,0240
elastic_transform;73,5180
pixelate;67,1340
jpeg_compression;60,7560
speckle_noise;66,3060
gaussian_blur;76,5600
spatter;75,3420
saturate;76,7620
blue_noise;66,5720
brownish_noise;42,5980
checkerboard_cutout;70,3960
circular_motion_blur;76,7480
inverse_sparkles;46,6280
lines;56,4640
pinch_and_twirl;76,5860
ripple;65,2000
sparkles;69,2040
transverse_chromatic_abberation;53,5320
Acc_C-all-19;71,7372
Acc_C-original-15;71,2024
Acc_C-bar-10;62,3928
Acc_all-ex-pixelwise-noise-24;69,0727
RMSCE_C;0,0515
Combined_Noise;71,4900
