;config_4_avg
Standard_Acc;82,4100
RMSCE;0,0140
gaussian_noise;61,7100
shot_noise;65,7220
impulse_noise;67,4320
defocus_blur;76,8880
glass_blur;64,2560
motion_blur;71,3760
zoom_blur;74,3740
snow;71,8160
frost;71,3800
fog;75,6460
brightness;80,9960
contrast;76,7260
elastic_transform;72,4900
pixelate;66,8580
jpeg_compression;60,9700
speckle_noise;66,2380
gaussian_blur;74,3280
spatter;75,5180
saturate;76,7660
blue_noise;68,3840
brownish_noise;45,3300
checkerboard_cutout;69,1260
circular_motion_blur;76,3920
inverse_sparkles;44,0100
lines;55,1300
pinch_and_twirl;76,6300
ripple;65,2480
sparkles;69,4600
transverse_chromatic_abberation;49,9420
Acc_C-all-19;71,1311
Acc_C-original-15;70,5760
Acc_C-bar-10;61,9652
Acc_all-ex-pixelwise-noise-24;68,4023
RMSCE_C;0,0355
Combined_Noise;71,0200
