;config_103_avg
Standard_Acc;82,8100
RMSCE;0,0419
gaussian_noise;19,4000
shot_noise;28,2000
impulse_noise;27,4000
defocus_blur;73,2000
glass_blur;21,8000
motion_blur;59,8000
zoom_blur;64,8000
snow;62,0000
frost;72,2000
fog;65,0000
brightness;78,4000
contrast;56,0000
elastic_transform;69,0000
pixelate;51,4000
jpeg_compression;52,2000
speckle_noise;33,2000
gaussian_blur;49,4000
spatter;66,0000
saturate;68,8000
blue_noise;29,6000
brownish_noise;36,8000
checkerboard_cutout;56,0000
circular_motion_blur;70,8000
inverse_sparkles;31,0000
lines;48,2000
pinch_and_twirl;71,4000
ripple;62,6000
sparkles;59,4000
transverse_chromatic_abberation;38,4000
Acc_C-all-19;53,5895
Acc_C-original-15;53,3867
Acc_C-bar-10;50,4200
Acc_all-ex-pixelwise-noise-24;57,6917
RMSCE_C;0,2117
Combined_Noise;49,3500
