;config_158_avg
Standard_Acc;78,2800
RMSCE;0,0313
gaussian_noise;46,9960
shot_noise;51,5400
impulse_noise;62,6000
defocus_blur;70,5060
glass_blur;58,8700
motion_blur;67,3240
zoom_blur;68,3380
snow;67,0600
frost;69,0480
fog;68,5720
brightness;75,4980
contrast;61,4820
elastic_transform;68,5820
pixelate;70,6860
jpeg_compression;61,3940
speckle_noise;49,9280
gaussian_blur;66,3000
spatter;68,2340
saturate;70,3780
blue_noise;56,0960
brownish_noise;36,2840
checkerboard_cutout;56,8040
circular_motion_blur;68,3220
inverse_sparkles;44,9740
lines;51,1280
pinch_and_twirl;72,3000
ripple;63,8440
sparkles;60,2040
transverse_chromatic_abberation;52,9120
Acc_C-all-19;64,3861
Acc_C-original-15;64,5664
Acc_C-bar-10;56,2868
Acc_all-ex-pixelwise-noise-24;63,2935
RMSCE_C;0,0593
Combined_Noise;51,8100
