;config_269_avg
Standard_Acc;79,8200
RMSCE;0,0260
gaussian_noise;51,3240
shot_noise;56,2880
impulse_noise;30,2900
defocus_blur;71,2860
glass_blur;59,3000
motion_blur;67,8620
zoom_blur;68,9820
snow;68,5600
frost;70,3840
fog;70,8700
brightness;77,5860
contrast;62,1920
elastic_transform;69,9920
pixelate;68,7340
jpeg_compression;60,9480
speckle_noise;54,7920
gaussian_blur;66,0700
spatter;69,8180
saturate;72,1640
blue_noise;48,3760
brownish_noise;39,4740
checkerboard_cutout;59,2000
circular_motion_blur;70,4120
inverse_sparkles;46,9300
lines;53,6940
pinch_and_twirl;73,9300
ripple;62,9320
sparkles;63,3620
transverse_chromatic_abberation;49,5900
Acc_C-all-19;64,0759
Acc_C-original-15;63,6399
Acc_C-bar-10;56,7900
Acc_all-ex-pixelwise-noise-24;64,3447
RMSCE_C;0,0851
Combined_Noise;56,6900
